SMILES	Mor12u	C-005	C-019	ATSC6p	AATSC8Z	MATS1c	MATS1se	BELpe-1	R1s	Vu	TDB04v	Mor09m	Mor13m	JGI1	B02[O-O]	B09[C-C]	observed	predicted
CC(C)CCC[C@@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	-1.86	-0.53	-0.74	1.78	0.07	0.22	0.1	0.19	-0.83	0.39	-0.59	-0.05	-0.72	0.87	-1.0	0.76	0.0	0.0
COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1OC	0.48	3.0	0.17	-2.19	-0.22	0.58	0.17	-0.49	0.61	-0.77	0.33	-1.12	-0.61	-0.8	1.0	0.76	0.0	1.0
COc1cccc(N(C)C(=S)Oc2cccc(C(C)(C)C)c2)n1	1.13	1.82	-0.74	0.29	-1.7	-0.9	0.64	-0.32	-0.56	-0.93	-0.2	0.3	0.02	0.53	-1.0	0.76	0.0	1.0
CCNc1ncn(Cc2ccc(OC)c(OC3CCCC3)c2)c2nc(C(C)C)nc1-2	-0.12	0.65	-0.74	-0.78	0.19	0.12	0.52	-0.32	-0.69	-0.75	-0.81	-0.6	-0.65	-0.61	-1.0	0.76	0.0	0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	1.36	-0.53	-0.74	-0.54	-0.18	2.17	1.07	-1.51	-1.5	-1.71	2.51	0.02	0.05	-1.6	-1.0	0.76	1.0	1.0
C[C@H]1CN=C(N)c2sccc2O1	1.04	-0.53	0.17	-0.48	-0.25	-0.05	-0.43	0.53	-0.67	-1.42	1.83	0.62	0.52	-0.47	-1.0	-1.32	0.0	0.0
Nc1ccc(-c2ccccc2)cc1	0.18	-0.53	-0.74	-0.31	-0.05	-0.18	-1.16	-0.49	-0.63	-0.56	1.03	0.4	0.63	-1.11	-1.0	-1.32	1.0	1.0
CN(C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CCNCC1	0.07	0.65	-0.74	0.78	-0.15	-0.59	0.37	-0.49	0.1	-0.69	-0.29	-1.66	-0.58	-0.93	-1.0	0.76	0.0	1.0
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1	0.79	-0.53	-0.74	0.04	-0.45	1.04	0.51	-0.83	-0.61	-1.38	0.41	-0.22	0.26	-0.71	-1.0	0.76	1.0	1.0
CC1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(=O)[nH]c(N)nc43)C(O)C2O)C(O)C(O)C1O	-0.0	-0.53	0.17	-2.45	-0.81	-1.29	-2.73	-2.36	1.79	0.03	-0.7	-0.42	1.19	0.81	1.0	0.76	0.0	0.0
C=CC(O)CCCCCCCC(=O)O	-0.03	-0.53	0.17	-0.04	-0.18	-1.01	-0.18	0.87	-0.0	0.19	-0.65	0.51	0.65	-0.47	1.0	0.76	0.0	0.0
O=CCO	0.94	-0.53	-0.74	-0.04	1.89	0.43	-1.19	2.75	0.05	1.15	-2.05	1.16	1.2	-0.8	-1.0	-1.32	0.0	0.0
O=C1CCCN1	0.6	-0.53	0.17	-0.04	0.92	-1.08	-0.05	2.06	-1.16	1.64	-1.61	0.97	1.1	-0.8	-1.0	-1.32	0.0	0.0
CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O	-0.12	-0.53	-0.74	1.17	-0.04	0.82	0.56	0.02	-0.74	1.99	0.65	0.83	-0.14	0.53	-1.0	-1.32	0.0	0.0
C/C(=C\C=O)CCCC(C)CCCC(C)CCCC(C)C	-0.22	-0.53	-0.74	0.85	0.1	1.73	0.5	0.36	-0.73	1.42	-1.15	1.07	0.12	-0.05	-1.0	0.76	0.0	0.0
CC1=CC(=O)C[C@@]2(C)CCC(=C(C)C)CC12	-0.01	-0.53	-0.74	0.9	0.93	1.29	0.57	0.02	-0.71	1.0	0.63	1.1	0.49	1.21	-1.0	-1.32	0.0	0.0
NC(=O)CCC(NC(=O)CCC(N)C(=O)O)C(=O)O	0.0	-0.53	2.89	-0.09	-0.15	-1.49	-1.19	1.72	2.26	1.2	-0.24	0.23	0.54	0.98	1.0	0.76	0.0	0.0
O=c1ccn([C@@H]2O[C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3F)[C@H](O)[C@H]2O)c(=O)[nH]1	0.28	-0.53	0.17	-2.24	-0.51	-1.27	-2.42	-2.36	1.99	1.03	-0.63	0.15	0.21	0.94	1.0	0.76	0.0	0.0
C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@H](O)C[C@]2(C)[C@H]1CC[C@@]2(O)C(=O)CO	-0.0	-0.53	-0.74	1.34	-0.1	0.3	-0.11	0.02	-0.12	0.77	0.41	0.67	-0.35	0.82	-1.0	0.76	0.0	0.0
O=c1[nH]c(=O)n([C@@H]2CCCO2)cc1F	0.86	-0.53	0.17	-0.06	-3.44	-1.05	-0.3	0.7	0.58	1.65	0.93	-0.33	0.87	-0.37	-1.0	-1.32	1.0	1.0
CCCCC(C)C(=O)O	1.03	-0.53	0.17	-0.33	1.1	-1.48	0.01	1.55	-0.18	1.38	-0.23	0.88	0.81	0.27	1.0	-1.32	0.0	0.0
CO[C@]1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)CC[C@@]5(C)C4CC[C@@]3(C)C2C1C	-2.44	0.65	-0.74	2.54	-0.02	0.24	-0.4	0.53	0.99	1.32	-1.5	-2.8	-2.91	0.18	1.0	0.76	0.0	0.0
CCCCCCCCCCCCC/C=C/C(O)C(COC1OC(CO)C(O)C(OS(=O)(=O)O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCC	1.03	-0.53	0.17	0.13	-0.06	-0.5	0.66	0.7	-1.57	-1.85	-0.59	-1.84	-3.01	-1.2	1.0	0.76	0.0	0.0
C=C(C)c1ccc(OC)c(CNC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)c1	-0.39	0.65	-0.74	-1.09	-0.2	1.44	0.88	-0.49	-0.28	-0.61	-0.69	-0.54	-0.99	-1.25	-1.0	0.76	0.0	0.0
O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O	0.66	-0.53	0.17	-0.81	-0.57	0.26	-0.06	-0.83	1.05	0.15	0.43	-0.61	-0.6	-0.66	1.0	0.76	0.0	0.0
CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)C1C(O)C[C@]2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C	1.05	-0.53	0.17	0.7	-0.03	-0.09	0.11	0.02	-0.03	0.19	-0.51	-0.53	-1.03	1.98	1.0	0.76	0.0	0.0
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C	-1.31	-0.53	3.79	0.56	-0.08	-0.18	0.03	-0.32	0.76	-1.08	-1.01	-2.88	-1.4	0.17	1.0	0.76	0.0	0.0
Nc1cc2c3ccccc3ccc2c2ccccc12	0.88	-0.53	-0.74	-0.27	-0.04	0.03	-0.92	-1.34	-0.59	-1.68	1.84	0.22	0.13	-1.48	-1.0	0.76	1.0	1.0
C/C1=C/C(C)C/C=C\C2C3O[C@]3(C)C(C)C3C(C(C)c4c[nH]c5ccccc45)NC(=O)[C@]23C(=O)CCC(=O)C1=O	-0.84	-0.53	0.17	0.22	0.02	0.61	0.37	-0.66	-0.04	-0.63	-0.42	-1.7	-0.51	-0.09	-1.0	0.76	0.0	0.0
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2	0.88	-0.53	-0.74	0.46	-1.71	0.47	0.39	-0.49	0.05	-0.75	1.53	-0.17	-0.28	-0.97	-1.0	0.76	0.0	1.0
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1	0.51	-0.53	-0.74	-0.76	0.56	1.1	1.56	-0.49	2.32	1.66	1.29	-0.48	0.5	-1.07	-1.0	0.76	0.0	0.0
O=P1(NCCCl)OCCCN1CCCl	0.55	-0.53	-0.74	0.31	-0.34	-2.12	-1.33	-2.19	-1.34	0.89	0.64	2.55	1.09	-0.19	1.0	-1.32	0.0	0.0
CCOCN(C(=O)CCl)c1c(C)cccc1CC	0.28	-0.53	0.17	-0.09	-0.96	0.1	0.55	-0.32	-0.63	-1.27	0.23	0.79	0.77	-0.8	-1.0	-1.32	0.0	1.0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1	-0.14	-0.53	-0.74	-0.87	-0.71	-2.18	1.18	-0.32	-0.77	0.44	-0.23	0.31	0.58	0.62	1.0	0.76	0.0	1.0
C=CCc1ccc(O)c(OC)c1	0.5	0.65	-0.74	-0.37	-0.85	0.21	-0.02	-0.32	0.12	-0.82	0.65	0.75	0.66	-0.27	-1.0	-1.32	1.0	1.0
N=C(N)NCCCC(NC(=O)C(N)CO)C(=O)O	0.04	-0.53	1.08	-0.52	0.11	-1.41	-1.69	1.72	1.52	0.56	-0.45	-0.08	0.38	0.45	1.0	0.76	0.0	0.0
CCC1O[C@@]2(C)OCCC1O2	0.17	-0.53	-0.74	0.02	-0.52	-1.22	0.37	1.72	-1.32	-1.08	0.28	0.06	0.93	0.8	1.0	-1.32	0.0	0.0
C=C(C)CCCC(C)CCOC(=O)C(C)C	-0.09	-0.53	0.17	0.26	-0.16	-0.45	0.71	0.53	-1.16	-0.7	-0.82	0.87	0.64	0.48	1.0	0.76	0.0	0.0
O=C(COP(=O)(O)O)Cc1c[nH]cn1	-0.14	-0.53	-0.74	0.27	-2.14	-1.76	-2.79	-2.19	1.04	0.16	0.45	1.2	1.9	1.18	1.0	-1.32	0.0	0.0
CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O	0.92	0.65	1.08	-0.66	0.59	-1.33	0.17	-0.32	0.19	0.39	1.39	-0.16	0.11	0.1	-1.0	-1.32	0.0	0.0
CC1(C)CC[C@@]2(C(=O)O)CC[C@@]3(C)C(=CCC4[C@@]5(C)CCC(OC6OC(CO)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CC[C@]43C)C2C1	-2.94	-0.53	0.17	0.98	-0.08	0.07	-0.37	0.02	0.98	0.46	-1.37	-0.37	-5.24	0.75	1.0	0.76	0.0	0.0
Cn1sc(=O)c2cc(S(N)(=O)=O)ccc21	0.73	0.65	0.17	0.22	-2.41	-0.3	0.88	-0.66	0.56	0.91	2.38	1.0	1.53	1.07	1.0	-1.32	0.0	1.0
CN(C)CC/C=C1/c2ccccc2COc2ccccc21	0.02	1.82	-0.74	-0.94	-0.3	1.5	0.98	-0.66	-0.51	-0.57	0.26	-0.51	-0.03	-1.27	-1.0	0.76	1.0	1.0
COc1cc(CC2=C[N]C(N)=NC2=N)cc(OC)c1OC	1.02	3.0	0.17	-1.36	0.16	-0.01	-0.44	-0.32	0.67	-1.41	0.24	0.0	-0.11	-0.02	-1.0	0.76	0.0	1.0
O=C(O)c1cc(O)ccc1O	0.9	-0.53	0.17	0.25	1.63	-0.75	-1.71	-0.32	2.32	-0.37	1.74	0.38	0.76	0.56	1.0	-1.32	0.0	0.0
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F	0.13	-0.53	0.17	-0.71	0.15	0.09	0.05	-0.32	0.68	0.83	-0.55	-0.89	-0.1	0.82	-1.0	0.76	1.0	0.0
CC(C)=CCC[C@@](C)(O)C1CC[C@@]2(C)C1C(O)CC1[C@]3(C)CCC(O)C(C)(C)C3CC[C@@]12C	-0.25	-0.53	-0.74	1.9	-0.03	0.12	-0.0	0.36	-0.85	0.31	-0.57	1.27	-1.34	1.51	-1.0	0.76	0.0	0.0
COc1ccc(C(C)C)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1	-0.69	0.65	-0.74	-0.96	-0.2	1.44	0.92	-0.32	-0.43	-0.49	-0.76	-0.51	-1.17	-1.25	-1.0	0.76	0.0	0.0
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2	0.7	-0.53	-0.74	0.38	-0.42	0.61	1.21	-0.49	0.42	-0.49	1.87	-0.46	0.01	-1.33	-1.0	-1.32	0.0	1.0
Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O	0.92	-0.53	2.89	-0.35	-0.18	-0.97	-0.38	-0.32	0.85	-0.15	1.44	-0.8	-0.29	-0.61	-1.0	-1.32	1.0	1.0
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3CC4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12	-0.91	0.65	1.98	-1.99	-0.05	-0.76	0.19	-0.66	-0.46	-0.74	-0.75	-2.8	-1.88	-0.0	1.0	0.76	0.0	0.0
CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2	-0.18	0.65	0.17	0.16	-0.46	0.23	0.41	-0.49	-1.01	-1.41	-0.04	-1.06	0.3	-0.8	1.0	0.76	0.0	0.0
C=C(C)[C@@H]1CC[C@]2(CO)[C@@H](O)C[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12	-1.94	-0.53	-0.74	0.46	-0.05	0.29	-0.0	0.36	-0.54	0.77	-0.29	0.65	-1.06	1.22	-1.0	0.76	0.0	0.0
CC(C)CCCC(C)C1CCC2C3CC=C4CCCC[C@@]4(C)C3CC[C@@]12C	-1.74	-0.53	-0.74	1.82	-0.03	2.32	1.07	0.19	-1.53	-0.28	-0.62	1.09	-0.38	0.05	-1.0	0.76	0.0	0.0
C/C(C=O)=C/CCC(C)C1CC[C@]2(C)C3=C(C(=O)C[C@]12C)[C@]1(C)CCC(O)C(C)(C)C1CC3	-1.22	-0.53	-0.74	1.56	-0.08	0.61	0.35	-0.15	-0.56	0.23	-0.45	1.15	-0.27	0.98	-1.0	0.76	0.0	0.0
CC(C)=CCC[C@](C)(OC1OC(CO)C(O)C(O)C1O)C1CC[C@@]2(C)C1C(O)CC1[C@]3(C)CCC(OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3C(O)C[C@@]12C	-2.04	-0.53	-0.74	2.97	-0.06	0.16	-0.36	0.36	0.61	0.51	-1.25	-1.17	-2.92	0.84	1.0	0.76	0.0	0.0
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1	0.68	-0.53	-0.74	-1.77	-0.36	0.24	0.24	1.55	-0.57	-0.56	-0.61	0.05	0.15	-0.02	-1.0	0.76	0.0	0.0
CCCCC/C=C\CC1OC1C(O)/C=C\C/C=C\CCCC(=O)O	-0.05	-0.53	0.17	0.01	-0.25	-0.33	0.11	0.53	-0.04	0.36	-1.21	0.38	0.05	-1.33	1.0	0.76	0.0	0.0
CC(C)N=C(N)N=C(N)NOCCCOc1cc(Cl)c(Cl)cc1Cl	1.27	-0.53	-0.74	-0.03	0.3	-0.88	-0.04	-0.32	-0.13	-0.21	-0.65	0.28	1.02	0.27	-1.0	0.76	1.0	1.0
O=C(O)C[C@H](O)[C@H](O)CO	0.13	-0.53	0.17	0.05	2.31	-0.68	-1.87	1.72	1.79	0.84	0.22	0.94	0.99	1.33	1.0	-1.32	0.0	0.0
CC(C)(CO)C(O)C(=O)OP(=O)(O)OC[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O	0.36	-0.53	0.17	-3.96	-0.1	-1.13	-1.98	-2.19	1.62	-0.01	-0.57	-0.89	0.04	0.64	1.0	0.76	0.0	0.0
C[C@]12Cc3c([nH][nH]c3=O)CC1CCC1C2CC[C@@]2(C)C1CC[C@]2(C)O	-0.41	-0.53	0.17	0.56	-0.16	0.27	0.63	0.19	-0.51	0.55	0.23	-0.53	-0.21	0.6	-1.0	0.76	0.0	0.0
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1	0.54	1.82	-0.74	-1.02	-2.72	-1.92	-0.11	-0.32	-1.12	-0.29	0.8	0.63	0.79	0.72	-1.0	-1.32	1.0	1.0
COc1ccc(N2CCc3c(NCCO)nc4c(OC(F)(F)F)cccc4c32)c(C)c1	0.77	0.65	-0.74	-2.02	-0.25	-0.54	-0.03	-0.66	0.61	0.69	0.02	-2.02	-0.05	-0.3	-1.0	0.76	1.0	1.0
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C	-0.1	-0.53	1.08	0.98	-0.04	-0.41	0.05	-0.32	0.01	-1.27	-1.13	-0.08	-1.09	-0.11	-1.0	0.76	0.0	0.0
O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21	1.32	-0.53	1.08	-0.76	-0.66	-0.46	-0.39	-1.0	0.63	-1.22	1.61	-0.95	-0.15	-0.95	-1.0	0.76	0.0	1.0
CC(=O)CC(c1ccccc1)c1c(O)oc2ccc(O)cc2c1=O	1.03	-0.53	-0.74	-0.97	-0.29	-0.24	-0.17	-0.66	0.88	-1.23	0.66	-0.15	0.08	-0.47	1.0	0.76	0.0	1.0
CCCC#CCCCCCCCCCCCCO	-0.83	-0.53	-0.74	-0.22	-0.12	0.86	0.07	-0.66	-1.27	-0.01	-1.26	0.52	0.23	-2.56	-1.0	0.76	0.0	0.0
O=P(O)(O)OP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O	0.5	-0.53	-0.74	-1.68	-0.54	-1.81	-3.96	-2.36	1.82	0.59	-0.04	0.77	2.39	1.33	1.0	-1.32	0.0	0.0
CC1(C)C(O)CC[C@@]2(C)C1CC[C@]1(C)C2C(=O)C=C2C3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C	-1.11	-0.53	0.17	0.2	-0.14	-0.52	0.19	-0.15	-0.2	1.42	-0.23	0.69	-1.23	1.78	1.0	0.76	0.0	0.0
C[C@]12CC(O)C3C(CCC4=CC(=O)CC[C@@]43C)C1CCC2C(=O)CC(=O)O	-0.68	-0.53	0.17	0.88	0.25	-0.09	0.11	0.02	0.2	1.31	0.29	0.64	-0.42	0.69	1.0	0.76	0.0	0.0
CC1=CC(=O)CC(C)(C)C1COC1OC(CO)C(O)C(O)C1O	0.18	-0.53	-0.74	0.66	-0.46	0.22	-0.47	0.19	0.75	0.83	-0.34	-0.31	-0.32	0.8	1.0	0.76	0.0	0.0
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2	0.89	-0.53	0.17	-1.7	0.66	-0.31	0.12	-0.66	-0.06	0.03	-0.38	0.28	-0.52	0.27	-1.0	0.76	1.0	1.0
NC(=O)CCC(N)C(=O)NC(CCC(N)=O)C(=O)O	-0.16	-0.53	2.89	-0.44	0.16	-1.58	-1.19	1.72	1.52	1.4	-0.33	-0.18	0.72	0.98	1.0	0.76	0.0	0.0
CN(CC[C@H](N)CC(=O)N[C@H]1C=C[C@H](N2C=C[C@@](N)(O)NC2=O)OC1C(=O)O)C(=N)N	0.07	0.65	1.08	-0.8	-0.1	-1.56	-1.34	0.7	1.43	-0.27	-0.79	-1.08	-0.56	0.87	1.0	0.76	0.0	0.0
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1	0.71	0.65	-0.74	-0.7	-0.19	-2.07	-0.18	-0.32	-0.74	-1.73	0.19	0.01	0.71	-0.24	1.0	0.76	1.0	1.0
COC(=O)[C@@]1(C)C(OC(C)=O)CC[C@@]2(C)C1CC[C@]1(C)C2C(=O)C=C2C3C(C)C(C)CC[C@]3(C)CC[C@]21C	-0.79	0.65	1.08	0.24	-0.05	-0.09	0.64	-0.15	-0.63	0.26	-0.41	0.97	-1.18	1.18	1.0	0.76	0.0	0.0
C=C1CC/C=C(/C)C/C=C\C(C)(C)CC1O	0.58	-0.53	-0.74	-1.02	0.78	0.33	0.03	0.19	-0.7	-0.22	0.16	0.5	0.28	1.07	-1.0	-1.32	0.0	0.0
CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21	0.66	1.82	-0.74	0.86	-0.26	1.54	1.1	-0.49	-0.07	-0.85	0.33	0.18	0.23	-0.37	-1.0	0.76	1.0	1.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	0.17	1.82	-0.74	-0.15	-0.59	1.62	0.84	-0.49	-0.73	-1.01	0.48	0.72	0.53	-0.71	-1.0	0.76	1.0	1.0
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1	0.74	-0.53	0.17	-0.1	0.76	-0.12	0.49	-0.32	0.92	1.89	0.86	-0.79	0.72	0.59	-1.0	0.76	1.0	1.0
CC(C)(C)C(=O)Oc1ccc2c(c1)nc(NC(=O)c1cccc([N+](=O)[O-])c1)n2CCCO	0.43	-0.53	1.08	-0.86	-0.14	-0.49	0.92	-0.32	0.83	-0.36	-0.58	-1.22	-0.01	0.27	1.0	0.76	0.0	0.0
CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C	-1.15	1.82	-0.74	-0.59	-0.11	0.8	0.4	-0.83	-0.24	-0.27	-0.17	0.3	-1.02	-0.09	-1.0	0.76	0.0	0.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]	0.45	1.82	2.89	-2.27	-1.18	0.33	1.18	-0.32	0.96	-1.5	0.74	-0.53	0.03	-0.47	1.0	-1.32	0.0	1.0
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C(O)C1O	-1.15	-0.53	-0.74	-1.29	-0.53	-1.55	-3.41	-2.36	2.05	-0.11	-0.96	-1.14	0.44	0.71	1.0	-1.32	0.0	0.0
CC1OC(O)C(O)C(O)C1O	0.71	-0.53	-0.74	0.28	1.9	-0.19	-1.57	1.72	1.05	-0.43	0.35	0.25	0.35	0.56	1.0	-1.32	0.0	0.0
Cc1ncc(COP(=O)(O)O)c(CNC(CCC(=O)O)C(=O)O)c1O	0.06	-0.53	1.08	-0.65	-0.64	-1.55	-2.01	-2.19	2.33	0.84	-0.2	0.76	0.94	0.91	1.0	0.76	0.0	0.0
CC(O)C(NC(=O)CN)C(=O)O	0.05	-0.53	1.08	-0.31	2.18	-1.12	-1.49	1.89	1.43	0.93	0.41	0.72	0.75	1.14	1.0	-1.32	0.0	0.0
C[C@H](O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O	-0.33	-0.53	-0.74	0.6	-0.26	0.02	-1.38	1.72	1.36	-0.4	-0.99	-0.42	-0.99	0.1	1.0	0.76	0.0	0.0
C[C@]12CC(OC3OC(C(=O)O)C(O)C(O)C3O)CCC1CCC1C2C(=O)C[C@@]2(C)C1CC[C@]2(O)C(O)CO	-1.22	-0.53	0.17	0.88	-0.13	-0.03	-0.47	0.53	0.99	1.18	-0.58	-0.24	-1.02	0.57	1.0	0.76	0.0	0.0
CCCCCC	0.61	-0.53	-0.74	-0.09	-0.68	1.87	-0.43	1.89	-2.07	-0.48	-0.62	1.21	1.1	-1.65	-1.0	-1.32	0.0	0.0
COc1cc(C2OCC(Cc3ccc4c(c3)OCO4)C2CO)ccc1O	0.2	0.65	-0.74	-0.98	-0.53	0.35	-0.17	-0.32	0.5	-0.23	-0.1	-1.31	-0.34	-0.73	1.0	0.76	0.0	1.0
CC#CC#CC#C/C=C/C=C/CCCOC(C)=O	0.84	-0.53	0.17	0.05	-0.41	-0.3	0.61	-1.51	-0.13	-0.8	-0.39	0.88	1.13	-1.81	1.0	0.76	0.0	0.0
NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1	-0.11	-0.53	0.17	-1.95	-0.39	-0.46	0.42	-0.49	0.74	0.69	0.23	-0.21	0.05	-0.09	1.0	0.76	0.0	0.0
CCNc1nc(Cl)nc(NC(C)C)n1	0.51	-0.53	-0.74	-1.05	0.16	-2.69	-0.45	2.06	-1.15	-1.22	0.12	0.76	0.81	0.72	-1.0	-1.32	1.0	1.0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	-0.29	-0.53	-0.74	1.59	-0.16	0.27	-0.03	-0.15	0.28	0.22	0.55	-0.06	-0.82	1.2	-1.0	0.76	0.0	0.0
O=c1ccc2cc3ccoc3cc2o1	1.07	-0.53	0.17	0.17	-1.01	-0.14	0.11	-0.83	-0.65	-0.33	2.41	-0.5	0.95	-0.53	1.0	-1.32	0.0	1.0
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCc3ccc(C(=O)O)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]23OO4	2.28	-0.53	0.17	0.47	0.29	-0.38	1.15	-0.32	2.03	-0.94	2.74	-0.88	-0.18	0.27	1.0	0.76	0.0	0.0
CC(C)/N=C(N)/N=C(\N)Nc1ccc(Cl)c(Cl)c1	0.49	-0.53	-0.74	0.37	0.93	-2.5	-1.12	-0.32	-0.14	-0.3	-0.16	0.62	0.8	0.98	-1.0	0.76	0.0	1.0
Nc1ccn(C2OC(CO)C(O)C2OP(=O)(O)O)c(=O)n1	0.68	-0.53	-0.74	-1.29	-0.33	-1.62	-2.73	-2.19	1.77	-0.71	0.52	0.24	0.86	0.85	1.0	-1.32	0.0	0.0
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12	0.9	0.65	-0.74	-0.01	-0.39	0.95	0.33	-0.66	-0.24	-1.0	-0.01	-0.36	-0.37	-0.8	-1.0	0.76	1.0	1.0
CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O	-0.24	-0.53	0.17	-0.74	-0.22	-0.53	0.27	-0.49	0.49	-0.05	-0.13	-0.03	0.12	-0.8	1.0	0.76	0.0	0.0
O=C(/C=C/c1ccc(O)c(O)c1)OC1C[C@]2(O)CC(OC2=O)C1OC(=O)/C=C/c1ccc(O)c(O)c1	-0.07	-0.53	1.98	-0.08	-0.16	-0.41	-0.73	-0.32	2.38	-0.13	-0.63	-0.92	-0.77	0.51	1.0	0.76	0.0	0.0
CC(CC[C@@](O)(CO)C(C)C)C1C(O)C[C@@]2(C)C3CCC4[C@](C)(C(=O)O)C(O)CC(O)[C@]45C[C@]35CC[C@]12C	-1.7	-0.53	0.17	0.44	-0.16	-0.29	-0.26	0.53	0.34	1.12	-0.62	-0.15	-1.18	1.49	1.0	0.76	0.0	0.0
CC(C#Cc1ccc(Cc2ccc(F)cc2)s1)NC(N)=O	0.35	-0.53	-0.74	-1.11	-0.53	-2.12	-0.09	-0.83	0.41	0.45	0.17	0.35	0.76	0.27	-1.0	0.76	1.0	1.0
CCNc1nc(NC(C)(C)C)nc(SC)n1	1.42	0.65	-0.74	-0.79	-0.61	-2.78	0.05	1.55	-1.08	-2.01	-0.23	0.35	0.81	1.47	-1.0	-1.32	1.0	1.0
C=C(C)C1CCC(C)(O)CC1	0.06	-0.53	-0.74	0.34	0.92	-0.04	-0.03	0.36	-1.0	0.04	0.12	1.04	0.72	1.72	-1.0	-1.32	0.0	0.0
