SMILES	SLogP	nR_3_True_False_True_False	ESpm03d	N-068	ATSC1dv	GATS2dv	AATS0dv	GATS2d	AATS0p	MATS5Z	AATSC5c	nArCOO	ARR	X0vA	AATS5i	ATSC7c	AATSC7i	BELv0	GATS6i	AATSC6v
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl	4.0676000000000005	2	3.5346946403707893	0	12.85078388653937	0.97420478347371	7.97676107480029	1.3742301231802914	1.9210193781819995	-0.04585249380969226	-0.0016589233664756529	0	0.75	0.5891036629836875	152.98949784477244	-0.10538766350798917	0.06085090483844596	22.46	1.1080649792874204	-5.446767937121639
O=C(O)C1CC(C2CCCCC2)CN1C(=O)CP(=O)(O)CCCCc1ccccc1	4.161700000000003	1	4.015191680757993	1	25.278380594135804	0.774614403625182	5.489197530864198	1.5006052173913045	1.5135071682010313	0.008611996433376677	-8.187767660485754e-05	0	0.1875	0.6170703324048972	164.40709311622882	0.6659526360142003	0.006849773882358967	24.44	0.9932925292291426	0.3765498993168616
CCOc1nc(C(Cl)(Cl)Cl)ns1	2.7635000000000005	0	3.6517485557757285	0	22.0	0.8130868120756897	8.309368191721132	0.6124223602484473	2.4645863837791175	-0.21522649261493657	0.007401026218221826	0	0.4166666666666667	0.7613506159270801	166.50745646406813	-0.004831397566051979	-0.30218707220188123	24.44	0.933103190809855	-10.008563854683823
c1ccc2c(c1)oc1ccccc12	3.586000000000001	2	3.1493113614822916	0	19.21541950113378	0.7891313773666715	8.19047619047619	0.961978928080623	1.7936622494662864	-0.35061619718309855	-0.0006686595585949849	0	1.0	0.5405423418446824	152.2372416250517	0.006016721208002559	0.341804742212888	20.93	1.2350561367424853	-11.024150310018003
CCO/C(O)=C1/C(C)=NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl	4.804600000000004	1	4.044071659338724	0	79.86878889909195	0.8568921119678975	7.891133557800225	1.003969969733894	1.6348968452757042	-0.09805536490505612	-0.00681561848063902	0	0.23076923076923078	0.6361386703356768	155.4146992792404	-0.22886358771760024	-0.0987484512214747	22.46	1.1625384683267095	-3.8375953178072275
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1	7.217600000000008	3	4.010998894666136	1	69.58802045288532	1.1929160347640868	4.972972972972973	1.6752550324718416	1.474069071474473	0.012802515057662686	0.0001092978803373854	0	0.47368421052631576	0.6128874843362153	158.73126513321262	0.09900419382775787	-0.23923848934587338	20.91	1.0250302793615231	0.22120093009695027
CCC1C(=O)OCC1Cc1cncn1C	1.1618000000000002	0	3.068848897341402	0	46.827263267429764	0.9418879866676121	6.580645161290323	1.4382036372633917	1.3386488541156134	-0.010150754154763008	-0.0006195061434101799	0	0.3125	0.609443012816386	167.9690261671365	-0.009783750162228048	-0.007498226353181638	20.8	0.9894569519384192	0.8678829587259184
CNC(C)Cc1ccc2c(c1)OCO2	1.5656999999999999	1	2.8791984572980396	0	39.3436385255648	1.0683828004725928	6.275862068965517	1.2709262435677526	1.3739138473356902	0.08219702456082272	-0.0016904882638165619	0	0.4	0.6100079442899518	166.21688359209236	0.08166123465404079	-0.07944669695962321	20.89	1.1214746404473788	-10.004528702731632
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl	0.9242000000000001	2	4.700687471617251	0	-8.175741704361249	0.5974525225929036	10.122708567153012	1.2524251221411882	1.8815320591920912	-0.045073210072816096	-0.004433376204234879	0	0.5	0.5749726777649012	159.17323731983228	-0.7129405311709811	-0.054190529328517444	24.44	0.8283037212212633	0.9858090058530333
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	0.9089999999999998	1	3.1404211888743907	0	8.715277777777775	0.7284822130048595	9.975308641975309	1.4010530934620447	1.5985648393183751	0.003496814797758846	-0.0010567990708599021	0	0.3	0.5791365580730379	164.38829487356824	0.16149576116320036	0.026404895611206118	22.46	0.8771341764437349	-1.0695979161068658
