SMILES	SLogP	PEOE_VSA6	EState_VSA2	O-056	ATSC6v	ATSC8d	ATSC5s	PEOE_VSA10	GATS2c	ATS0dv	ATS0Z	X3A	ATSC5se	GATS5Z	ATSC8v
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC	1.8335000000000106	38.4963563428089	31.652591779655886	5	-11.040859690046403	-39.63115537447815	-54.42154010808756	49.01392523736767	1.2358496387405815	898.0	2870.0	0.18281623286710902	-6.004364557718432	1.087058646688048	-710.3003698942721
CCCN(CCC)CCc1cccc2c1CC(=O)N2	2.845700000000001	25.980208536304467	5.907179729351506	0	640.407350728278	-12.273120605732828	5.155714800793223	0.0	1.1087023594825791	198.0	762.0	0.18424342622063392	0.08610799999999966	0.9922436309544624	-642.3615509875701
CC1(C)C(=O)[C@H]2C[C@]3(O)C4=CC(=O)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@@H]3[C@](C)(C2=O)[C@H]1CC(=O)O	3.2464000000000013	27.694948798762496	24.408133138581896	2	1509.7337291051654	1.2509765625	60.50748697916666	17.67045628047818	0.6896160167806925	518.0	1478.0	0.1530383613416473	2.305456582031243	0.9611169150521902	911.9366488403571
CCC(=O)O[C@H]1[C@H](O[C@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C	2.7465000000000055	34.61868599845312	37.8290937086003	4	2675.050276530993	-23.354308390022666	52.305335097001766	23.592228532845233	1.1766610941465603	750.0	2456.0	0.18381342003084478	0.6468837777778115	1.038808268020641	-1159.9592776731126
COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3	7.162400000000009	18.19910120538483	12.083681658295921	0	-1287.4241194471756	-8.120867768595044	-13.104396235078053	5.749511833283905	1.5441085827012913	628.0	1892.0	0.16903932283004258	-2.0032524607437927	0.9661490650219631	-33.19477685430746
Oc1ccc(O)cc1	1.0977999999999999	0.0	11.49902366656781	2	-21.652319696922895	0.0	23.383219954648524	11.49902366656781	0.5034804372053581	118.0	350.0	0.23045304526403113	1.0249584489795907	0.32913773148148145	0.0
O=c1c(O)c(-c2ccccc2)oc2ccc3occc3c12	3.911800000000002	30.33183534230805	11.509759252158346	1	-275.3021781029092	-0.40166493236212397	-4.38620071684588	11.166040283284485	1.023082999372304	342.0	878.0	0.1687626543456922	0.022510451612905213	1.088784325825363	27.11929276685423
Cc1c(O)cccc1C(=O)N[C@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C	4.747620000000004	43.52793314262448	29.144637373518222	2	166.22326370411884	5.603183391003461	-10.598730604563297	5.749511833283905	0.8710918625361681	444.44444444444446	1856.0	0.1845687470628442	-0.42734137923874926	1.097408026755853	918.2101393956214
Cc1cc(=O)c2c(O)c3c(cc2o1)OC[C@H](C)CC3	2.7681200000000006	6.923737199690624	16.564526439649242	1	-529.170124033653	-4.412244897959181	-32.2824716553288	28.22851544154929	0.8864755742391368	286.0	812.0	0.17136170128080003	-1.271430406530612	1.1086367654920022	-570.1423121686202
CS(=O)(=O)OCCCCOS(C)(=O)=O	-0.2809999999999997	0.0	13.213763929025836	0	-203.9179495301409	-5.877551020408163	-24.71562290039472	0.0	0.8303808539265378	234.88888888888889	1126.0	0.2366866718721158	-0.8578142091836725	0.9900593543405876	746.0728758619472
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl	4.718100000000002	34.802819670697545	21.078364780810816	0	-307.2505626932898	-1.755053507728897	-11.1250511186431	5.022633313741326	0.880614601336476	218.5679012345679	1924.0	0.19504626328375463	-1.1277926183115272	1.010636128621986	-368.68132815740466
