SMILES	C-001	F04[C-N]	F05[N-O]	B05[N-S]	F05[N-S]	B05[N-F]	F05[N-F]	B05[N-Cl]	B05[N-Br]	B05[O-O]
CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OC)C1c1cccc([N+](=O)[O-])c1	2	7	0	0	0	0	0	0	0	0
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1	1	0	0	0	0	0	0	0	0	0
c1ccc(Cn2cc(CN3CCCCC3)c3ccccc32)cc1	0	5	0	0	0	0	0	0	0	0
CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1ccccc1C(F)(F)F	3	6	0	0	0	1	3	0	0	0
O=C(O)c1ccc(N2CC3(CCN(Cc4cc(C(F)(F)F)ccc4C4CC4)CC3)OC2=O)cc1	0	7	0	0	0	0	0	0	0	0
Cc1ccc(C(C)C)c(O)c1	3	0	0	0	0	0	0	0	0	0
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4ncn5c6cccc(F)c6cc5c4n3)cc12	0	17	0	1	1	0	0	0	0	0
O=C1CC2(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC2)Oc2cccnc21	0	8	0	0	0	0	0	0	0	0
CCC1=C[C@@H]2[C@H](C1)C[C@]2(CN)Cc1nn[nH]n1	1	11	0	0	0	0	0	0	0	0
O=C1Cc2cc(S(=O)(=O)NNc3ccc(Br)cc3)ccc2N1	0	8	0	1	1	0	0	0	1	0
CN(C)c1ccc(CC(=O)Nc2ccn(Cc3ccc(F)c(F)c3)n2)cc1	0	10	1	0	0	1	1	0	0	0
CCC1=CC2C(C1)C[C@@]2(CN)Cc1nn[nH]n1	1	11	0	0	0	0	0	0	0	0
CCn1cc([C@@]2(c3nn(C)c(=O)o3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1	1	27	3	0	0	0	0	0	0	0
CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21	0	14	1	0	0	0	0	0	0	1
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccc(OC)cc1)CCCC3	2	11	0	0	0	0	0	0	0	0
O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccccc3C(F)(F)F)no2)CC1	0	17	1	0	0	1	6	0	0	0
CCO/C(O)=C1\C(C)=NC(=S)N(C(=O)OC)C1c1cccc([N+](=O)[O-])c1	2	6	0	0	0	0	0	0	0	0
O=C(NC1CC1c1ccccc1)N1CCC(n2cccn2)CC1	0	8	0	0	0	0	0	0	0	0
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4ccn5c6cccc(F)c6cc5c4n3)cc12	0	13	0	1	1	0	0	0	0	0
O=C(Cn1ccccc1=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1	0	8	1	0	0	0	0	0	0	1
CCOC(=O)N1C(=S)N=C(C)/C(=C(/O)OCC)C1c1cccc([N+](=O)[O-])c1Cl	3	7	0	0	0	0	0	0	0	0
Cc1noc([C@H]2C[C@@H]2C(=O)NCc2ccc(-c3cccc(OC(F)(F)F)c3)c3c2CN(C(=O)NC(C)(C)C)CC3)n1	4	15	2	0	0	0	0	0	0	1
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C	4	10	2	0	0	1	1	0	0	0
COc1cc(F)c(-c2ccc(C(=O)O)cc2C)cc1-c1ccc(F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12	1	5	0	0	0	1	1	0	0	0
COc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1-c1cnn(C)c1	1	16	2	0	0	0	0	0	0	0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCc2cn(CCOCCOCCOCCn3cc(COC(=O)C4=C(C)NC(C)=C(C(=O)OCC)C4c4c(-c5ccc(Br)cc5)noc4C)nn3)nn2)C1c1c(-c2ccc(Br)cc2)noc1C	8	16	4	0	0	0	0	0	0	0
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc([N+](=O)[O-])cc1)CCCCC3	2	13	0	0	0	0	0	0	0	0
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(F)cc1)CCCC3	2	11	0	0	0	0	0	0	0	0
COc1cccc2c1[C@H](c1ccccc1)N(C(=O)CNC[C@@H](C)O)CC2	1	7	0	0	0	0	0	0	0	0
O=C(Nc1ccc(F)cc1)N1N=C(c2ccccc2)CC1(CO)c1ccc(F)cc1	0	16	1	0	0	1	1	0	0	1
Nc1c2c(nc3c1C(c1ccccc1)NC(=S)N3)CCCC2	0	11	0	0	0	0	0	0	0	0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Br)c1	2	1	0	0	0	0	0	0	0	0
C[C@@H](NC(=O)Cc1ccc(C2CC2)cc1)c1ccc(OCC(F)(F)F)cn1	1	6	1	0	0	0	0	0	0	0
COc1ccccc1-n1nc(OC2CCS(=O)(=O)CC2)cc1-c1ccc(Cl)cc1	0	11	0	0	0	0	0	0	0	1
CC(C)(C)NC(=O)Cn1c(-c2ccc(F)cc2)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21	8	8	0	0	0	0	0	0	0	0
COc1ccc2ncc(F)c(CC[C@@]3(O)CO[C@@H]4[C@@H](NCc5cc6c(cn5)OCCO6)CO[C@@H]43)c2n1	0	10	3	0	0	0	0	0	0	0
CCOC(=O)C1=C(C)NC(=S)N(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1	3	7	0	0	0	0	0	0	0	0
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1	2	19	1	0	0	1	6	0	0	0
Cc1nc2c(s1)CC[C@H]2C(=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3cccnc3)N2)cc1	1	8	0	1	1	0	0	0	0	0
N[C@H]1C[C@@H](N2Cc3cn(S(=O)(=O)C4CC4)nc3C2)CO[C@@H]1c1cc(F)ccc1F	0	7	0	1	1	1	1	0	0	0
COc1ccccc1-n1nc(OC2CCN(S(C)(=O)=O)CC2)cc1-c1ccc(Cl)cc1	0	11	0	0	0	0	0	0	0	0
CSC1=NC2C(=C(C)N1)C(=O)OCCCCCSc1c2cccc1[N+](=O)[O-]	1	7	0	0	0	0	0	0	0	0
COc1ccccc1-n1nc(OC2CCSCC2)cc1-c1ccc(Cl)cc1	0	11	0	0	0	0	0	0	0	0
O=C(CC(c1ccccc1)c1ccccc1)N1CCN(C(c2ccccc2)c2ccccc2)CC1	0	8	1	0	0	0	0	0	0	0
COc1ccc(CCN(C)C2CCCC(C(C#N)(c3ccc(OC)c(OC)c3)C(C)C)C2)cc1OC	2	10	0	0	0	0	0	0	0	0
CCOC(=O)C1=C(C)N[C@]2(C)Sc3ccc([N+](=O)[O-])cc3[C@H]1[C@@H]2C(=O)OCC	4	4	0	1	1	0	0	0	0	0
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(C)cc1)CCCCC3	3	12	0	0	0	0	0	0	0	0
O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccccn3)no2)CC1	0	16	1	0	0	0	0	0	0	0
O=C(CN1CCN(C(c2ccccc2)c2cccc(Cl)c2)CC1)N(c1ccccc1)c1ccccc1	0	12	0	0	0	0	0	1	0	0
COC(=O)C1=C(C)N(C)C(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl	2	1	0	0	0	0	0	0	0	0
C#CCn1cc(CN2CCCCC2)c2cc(Br)ccc21	0	3	0	0	0	0	0	0	1	0
C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=C)C1c1cccc(Oc2ccccc2)c1	2	1	0	0	0	0	0	0	0	0
CCO/C(O)=C1\C(C)=NC(=S)N(C(=O)c2ccc(OC)cc2)C1c1cccc([N+](=O)[O-])c1	2	9	0	0	0	0	0	0	0	0
CSC1=NC2C(=C(C)N1)C(=O)OCCCCCSc1ccccc12	1	4	0	0	0	0	0	0	0	0
CO[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12	0	7	0	0	0	0	0	0	0	0
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21	0	10	2	0	0	0	0	0	0	1
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1Cl	4	1	0	0	0	0	0	0	0	0
C=CCc1ccc(O)c(OC)c1	0	0	0	0	0	0	0	0	0	0
ClCCCCn1cc(CN2CCCCC2)c2cc(Br)ccc21	0	4	0	0	0	0	0	1	1	0
O=C(NC[C@@H]1[C@H]2CN(C(=O)OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)C[C@@H]12)c1ccc2[nH]nnc2c1	0	11	1	0	0	0	0	0	0	0
O=C(c1ccccc1)N1N=C(c2ccc(Br)cc2)CC1c1ccc(F)cc1	0	12	0	0	0	0	0	0	0	0
COc1ccccc1-n1nc(OC2CC(C)(C)S(=O)(=O)C(C)(C)C2)cc1-c1ccc(Cl)cc1	4	11	0	0	0	0	0	0	0	1
