SMILES	C-017	H-046	H-050	AATSC1dv	MATS4s	GATS3d	BELd0	nR_3_True_False_None_False	H6m	R7p	RDF030m	JGI2	JGI3	B02[N-O]	PNSA4	observed	predicted
COC1O[C@]23C=CC4[C@@]1(CC[C@@]1(C)C(C(C)C/C=C/C(C)(C)O)CC[C@]41C)C2CCC(OC1OC(CO)C(O)C(O)C1O)C3(C)C	-0.249321075795678	1.4963884377363874	0.9456662148857123	0.226100348840654	0.4542704307207521	1.2355824285704087	1.2279429106396267	1.64863851327247	1.3650566800201265	1.5852471819455198	1.029570684173899	1.4240248689816835	0.9382990206637043	-0.5938324862422478	0.08886090692243682	0	0
C[C@]12CCC3C(CCC4C=CCC[C@@]43C)C1CCC2=O	-0.249321075795678	1.0474890661773808	-0.8397428628719548	0.010915727312193469	-0.4016689069886351	1.374103674617744	1.0386724266522795	1.64863851327247	-0.6236563033310294	0.19022458732894978	0.04765484602365209	1.3003201721097923	0.3538082680579379	-0.5938324862422478	0.971030362827443	0	1
O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12	-0.249321075795678	-0.748108420058645	-0.8397428628719548	0.2546620288264129	-0.6415681406868115	-0.41061149145859693	-0.7488821443393349	-1.0494148809851351	-0.7396645606931801	-1.2337403847692923	-1.0527368502495495	-0.5819766043668337	-0.07484963224408557	-0.5938324862422478	-0.9792414792311829	1	0
CC(C)c1cc2c(c(O)c1O)C(=O)C1CCCC(C)(C)C1CC2	-0.249321075795678	1.0474890661773808	-0.1255792317688879	0.7736068508523393	0.7618060693440821	0.21752683691719873	1.017642372875906	0.9741251647080688	-0.35849457221754194	-0.05867985901342609	-0.4835999572792789	0.5264315770066719	0.4441504127436855	-0.5938324862422478	0.6267943610527843	0	0
COc1ccc2ccc(=O)oc2c1	-0.249321075795678	-0.748108420058645	-0.8397428628719548	0.8112441291191326	-0.4065621635492921	-0.015492946427682322	-0.7278520905629634	-0.37490153242073376	-0.7728097770823661	-1.1816441053022835	-1.0291926032849876	-0.708374028558551	-1.0169001340706287	-0.5938324862422478	0.31621678171187273	0	0
COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CO)c2)cc1	-0.249321075795678	-0.748108420058645	0.23150258378264552	-0.4279168100057695	-0.3936323921465232	-0.6033157215883382	1.059702480428651	0.29961181614366744	0.2381193227878048	0.1960130628252841	-0.10010039614497558	0.08228219936409531	-0.31181603933934327	1.6839765812206853	-1.3194039812318876	0	1
CNC1(c2ccccc2Cl)CCCCC1=O	-0.249321075795678	-0.4488421723526407	-0.48266104732042137	0.3122908704425071	-0.38272379691888014	1.665256853743431	1.0386724266522795	0.29961181614366744	-0.5739384787472506	-0.45229619276415955	-0.19140981546266678	0.9189928079097881	0.49087910827079423	-0.5938324862422478	0.6328816119356592	1	1
CCCCNCc1cc(=O)oc2cc(OC)ccc12	-0.249321075795678	-0.3740256104261396	-0.48266104732042137	1.043755249205034	0.7014045490777254	-0.7255076338448494	-0.6227018216811031	-0.37490153242073376	-0.5905110869418435	-0.16287241794744356	-0.4203625247270265	-1.043813346605796	-0.551690009711845	-0.5938324862422478	0.4416158043727886	0	1
CC(C(O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1	-0.249321075795678	-0.748108420058645	0.23150258378264552	-0.36092191788707856	-0.3727438794437595	0.898239151774311	1.017642372875906	0.29961181614366744	0.0723932408418751	0.07445507740226333	0.09927107975365285	0.5214387473608437	-0.34592399316853506	-0.5938324862422478	0.15708582162451445	0	1
CC1CNC(=O)NC1=O	-0.249321075795678	-0.5236587342791418	-0.1255792317688879	0.9484602789045051	-0.08861365929045126	-0.5146394173760513	-0.8750624669975665	-1.0494148809851351	-0.7520940168391249	-1.7141838509650407	-0.9262619851450449	0.6187989254544625	0.06471340506355172	1.6839765812206853	0.20582955008097162	0	0
CC#CC#CC#CC#CCCCC	-0.249321075795678	0.14969032305936794	-0.8397428628719548	1.3565970327478007	1.259265318480516	-1.8327186069188182	-2.4102563926727174	-1.0494148809851351	-0.7479508647904767	-1.262682762250964	-1.122464043183059	-2.3285591931978122	-2.133404432531716	-0.5938324862422478	0.8177633353102173	0	0
CC1CC[C@@]2(OC1)OC1CC3C4CCC5CC(O)CC[C@]5(C)C4CC[C@]3(C)C1C2C	-0.249321075795678	1.3467553138833852	-0.48266104732042137	0.1537397923767783	-0.2197529798878944	1.0076119729407496	1.0386724266522795	1.64863851327247	-0.08504653700675799	0.960091828341414	0.9061143122699792	0.7430170837118386	0.8280809273068339	-0.5938324862422478	0.8815696497448356	0	0
C[C@]12CC(OC3OC(C(=O)O)C(O)C(O)C3O)CCC1CCC1C2C(=O)C[C@@]2(C)C1CC[C@]2(O)C(O)CO	-0.249321075795678	0.5237731326918733	1.6598298459887793	-0.34021779384344003	0.5498528930450635	0.9511317582849921	1.2279429106396267	1.64863851327247	0.482565293658051	0.7401297594807098	1.364925278758874	1.2545036177127957	0.7027158613270261	-0.5938324862422478	-0.5642870590637548	0	0
CC(C(=O)O)c1ccccc1	-0.249321075795678	-0.5236587342791418	-0.48266104732042137	-0.04075892523452902	-0.8382032788242226	0.5345741160887323	-0.7909422518920788	-0.37490153242073376	-0.7603803209364214	-1.459490929126331	-0.7386626327286974	0.10418084124533424	-0.10437258244378085	-0.5938324862422478	0.34092436004855975	0	0
CC1=C(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CCC5CC(OC6OC(COC7OCC(O)C(O)C7O)C(O)C(O)C6O)C(O)C[C@]5(C)C4CC[C@]3(C)C12	-0.249321075795678	1.197122190030383	3.088157108194913	-0.49974806468008603	0.5955389143126	0.4260117862210353	1.0386724266522795	1.64863851327247	2.715724247879453	1.0932267647571032	3.681769734867764	0.652465529094313	0.3371936207594114	-0.5938324862422478	-0.8518527402593822	0	0
CCNc1nc(NC(C)C)nc(SC)n1	-0.249321075795678	-0.748108420058645	-0.1255792317688879	1.925126493937343	0.3197934091632661	-1.0361724767796217	-0.9171225745503104	-1.0494148809851351	-0.7355214086445319	-0.05867985901342609	-0.9763689722747532	-1.84595084628399	0.5531840356402765	-0.5938324862422478	0.43337425748316033	1	1
