SMILES	C-017	H-046	H-050	AATSC1dv	MATS4s	GATS3d	BELd0	nR_3_True_False_None_False	H6m	R7p	RDF030m	JGI2	JGI3	B02[N-O]	PNSA4
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)O	0	0	9	-0.41100420786346714	0.042153535223679706	1.1748829086290387	4.03	0	0.619	0.461	14.618	0.09339774557165866	0.07039573820395738	1	-37.91825156322182
CCCCOCCOCC(C)OCCCOC	0	5	0	0.5332323232323234	0.04991751907992369	1.0694444444444446	3.03	0	0.03	0.218	4.741	0.041666666666666685	0.024999999999999998	0	-3.0378472552333164
CC(C)=CCC/C(C)=C/CC/C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(\C)CC/C=C(\C)CCC=C(C)C	8	46	0	0.6868686868686869	0.06470325747434184	1.1922420207184692	3.07	0	0.313	0.384	7.394	0.07246376811594205	0.043604651162790706	0	-7.191349707390444
CCC(C(=O)c1ccc(C)cc1)N1CCCC1	0	6	0	1.1078201576816535	0.004765070765369165	1.3781376518218627	3.18	1	0.037	0.325	3.714	0.09259259259259264	0.050120772946859904	0	-3.7088574365971563
COC(=O)/C(C)=C\C=C\C(C)=C\C=C\C=C(C)/C=C/C=C(\C)C(=O)OC1OC(CO)C(O)C(O)C1O	4	12	4	0.9027777777777778	-0.09164723600272151	1.342775974025974	3.19	0	0.514	0.267	7.714	0.10874704491725777	0.05168269230769231	0	-20.04238437510742
C/C(C=O)=C\CCC(C)C1CC[C@@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CCC(O)C(C)(C)C1CC3=O	1	38	1	1.1322040323431597	-0.05903940093800254	1.74243268179333	4.12	4	0.18	0.508	15.462	0.14689265536723167	0.07591324200913241	0	-4.808619903066317
CC(CC(=O)O)C[C@]1(O)CC2CCC1CN2C	0	6	2	0.8046341463414635	0.023734108729351836	1.357555341674687	4.02	1	0.113	0.265	6.538	0.09876543209876545	0.07	0	-4.766596342834374
CN(C)P(=O)(N(C)C)N(C)C	0	0	0	-0.22960876339790331	-0.3917796963633551	2.9903198653198637	4.04	0	0.008	-0.021	4.121	0.17777777777777784	0.08333333333333334	1	-3.385835568194886
CCOC1OC(C(=O)O)C(O)C(O)C1O	0	0	4	0.36266349583828744	0.02254212333153551	1.2297440557322432	3.19	0	0.043	0.174	4.373	0.11640211640211644	0.06510416666666666	0	-14.977529311942046
O=S(Cc1cc(OCC2CC2)ccn1)c1nc2cc(F)ccc2[nH]1	0	4	1	0.7603359173126616	0.0057932769854379534	0.9060895084372709	3.2	2	0.061	0.303	1.829	0.0650793650793651	0.04398148148148148	0	-10.389004538387637
