SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m	observed	predicted
CC(C)N(CC[C@@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C	-0.4208400901020445	1.2983582907329865	0.14828106310522612	0.7555063394550109	-0.20743165430577465	0.020970123264311007	-0.08422406706957807	1.0094669561589167	0.3845681746509329	0.15751494814689498	-0.1977121704067329	-0.7769473944709956	-0.39016704662171675	0.26885531246932043	-0.706239933868403	0.6242461527884736	-1.4407684738601048	0.0	1.0
CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1	-0.5163467193639514	0.1889371204688756	0.15769358566331376	0.8133986056974938	0.11529541633978256	-2.263859732124428	-1.0373769076806114	0.8297927637217516	-0.7009412331652451	0.07109504897474066	-0.09134581462216497	-0.4939111032366704	0.011925731058210988	0.04246541023235363	-1.4257669402910393	0.41015429148548105	-0.28058363055749846	0.0	1.0
Cc1cc2c3ccccc3ccc2c2ccccc12	-0.9298661595956051	2.1304241684310696	-2.5813504787402506	1.287524900994361	-0.04243701269354864	-0.08782784899191123	-1.0373769076806114	0.5113386443607872	0.2294954021057646	0.01896720081876735	-0.05574018120271739	-0.9902501067055597	1.552411048143648	-0.2207514892505457	0.8646237190948318	0.08365667158705603	-2.0088717039669453	1.0	1.0
C=C1C[C@]23CC1C(O)CC2[C@]1(C)CCC(O)[C@@](C)(C(=O)O)C1C3C(=O)O	-0.9298661595956051	-0.9204840497952355	-0.6988459671226807	-1.3475292829545822	-1.7966154882753067	-1.5557168207631793	-0.14214905943423572	-0.16898843846508224	-0.8560140057104135	-0.6997622226959908	-0.2145479605815131	-0.34897464492344105	-0.6042683957759638	-0.08793058651063929	-0.970273849583426	0.9320709161510967	0.7799986983757268	0.0	0.0
N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O	-0.4824312547351768	-0.9204840497952355	0.15769358566331376	0.28107691365368953	0.4249055379513533	-2.291009042358982	0.4528389350884504	-1.535158638570802	-0.8560140057104135	0.0020264692962559234	-0.25333090048591633	-0.7174687535594345	0.006703746932497637	0.8979069490226647	-1.3121482065069792	-0.8584917314047154	0.4977915743291468	0.0	0.0
CN1CCN2c3ncccc3Cc3ccccc3[C@H]2C1	1.5264491636684394	0.7436477056009311	0.14828106310522612	1.1206739560347696	0.5045495021826043	2.3197236735591353	-0.4379344479827384	0.4354071761036304	1.0048592648316061	2.2110267943790687	-0.13929617246932818	-0.1459268707770773	-0.05073807845034922	-0.6874913970341676	1.4354465190168837	-0.2501342299880004	-0.8265529685822544	1.0	1.0
CCCCCCCC(=O)OCCC(C)C	-0.41600820225961	-0.9204840497952355	-0.7082584896807683	0.8880704799248258	0.2315286351474712	0.15577981751463366	-0.14753347664524347	0.4792720935429122	-1.16615955080075	-0.6997622226959908	-0.8669431512214746	0.49124661576976125	0.11114342944676465	-0.24568054888544485	-0.6814027737166992	1.9053460242904647	0.5199254664112315	0.0	0.0
C=C(C)C1CC=C(C)CC1	-0.9298661595956051	-0.9204840497952355	-2.684888226879218	1.287524900994361	0.3125815688210721	0.4910025100903453	-1.0373769076806114	0.5456751039534248	-1.0110867782555817	-0.6997622226959908	-1.1943848591499022	-0.36196423316849463	0.4349064452409921	-0.9023346532183651	-0.0880860908926325	2.1505918334104526	0.1768501391389187	0.0	0.0
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1	2.51021834443645	1.5757135832990143	0.28005637891845486	0.9359879310007199	0.7086610516490125	1.3764417088255023	0.7840913638154148	0.6219397503901677	2.4005142177381207	1.211992409552632	-0.24999980577332837	0.1514663337807283	-0.4684968085074169	-0.12751247632294324	0.022335656164943617	0.24846930129546257	0.08462558879689908	0.0	1.0
CS(C)=O	0.04323334224834104	-0.9204840497952355	-0.7176710122388559	-0.08900979414528119	-0.04243701269354864	-1.2417634867698668	-0.029138303505613816	-1.9617337976995834	-0.5458684606200769	-0.6997622226959908	0.45270276177945024	-0.6661940631184337	4.330506603023148	-0.3516075272978586	-0.7461884010091407	0.5567489935956685	0.05695822369429318	0.0	0.0
CC1(C)CC(O)[C@]2(C)CC[C@]3(C)C(=CCC4[C@@]5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CC[C@]43C)C2C1	-0.41600820225961	-0.9204840497952355	-0.6988459671226807	-0.9787070710547744	-0.28402786135934127	-0.23450647601141805	1.1791550440912972	-0.048509049237823954	0.5396409471961012	-0.6997622226959908	-0.4365435168864583	0.24239345149610333	-0.9802512528273248	0.3347580426186416	0.26679235152867786	-0.5227695207411927	2.655846052332405	0.0	0.0
CCCCCCCCCCCCCCCCCCCc1cc(O)cc(O)c1	-0.9298661595956051	-0.08841817209715218	-0.7270835347969452	0.35452593521209674	0.10919558800317863	-1.4174315293959856	-0.4379344479827384	0.02322787442477348	-1.0110867782555817	0.027839219121811434	-1.0157957681878984	2.0397422670879903	-0.531160618015977	-0.12302644374819058	-0.8326114263662321	-0.6567627924225873	1.4181925867425023	0.0	0.0
CC(=O)NC1C(OP(=O)(O)O)OC(CO)C(O)C1O	-0.41600820225961	-0.9204840497952355	0.1388685405471368	-2.8683484523330214	-0.33091997368793596	-0.786876330845576	0.7009887558948052	-2.569650778473817	-0.5458684606200769	-0.6997622226959908	0.9331350074422561	-0.08508090478708952	-0.061182046701775926	0.4223319961750686	-0.18908959303483153	-0.17956383866742726	-0.551723808563036	0.0	0.0
Cn1c(=O)[nH]c(=O)c2[nH]c(=O)[nH]c21	-0.9298661595956051	-0.9204840497952355	0.15769358566331376	-2.437138469828456	-0.04243701269354864	-1.3873365279892902	-0.37941223017652137	0.06675929021579169	-1.0110867782555817	-0.6997622226959908	0.9262116299089336	-0.5130536543346441	2.2208250162349565	0.04785627494187918	-0.6308142240151315	0.8472060602590921	-1.0478918894031013	0.0	0.0
