SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m
N=C(N)NCCCC(NC(=O)C(N)CO)C(=O)O	13.151638370425493	0	14.56	0.5439965166316248	-2.102819264936868	0.6923712883728548	9.589074368143644	0.10238926359799627	6	0.0	3.125	1.384	0.261	9.39956172388604	0.5664563427304324	1.209498210720191	0.24
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1	32.72378202956288	13	17.43	0.8577797467051335	-0.48772464670236926	1.6237756928368594	0.0	0.17353654312435057	26	2.78050019898994	2.670886075949367	1.195	0.232	-47.06887755102041	0.538421109590481	0.7244287094880036	-0.313
C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1	25.387122824484514	0	14.54	0.9638450498037985	2.0879166666666666	1.6078418671373935	4.736862953800049	0.35001036675267233	8	0.0	0.32870370370370366	0.944	0.459	-7.960493827160507	1.2231429755446854	0.09210204357840461	0.465
COCCl	13.175861327834781	0	13.63	0.8905675562493398	0.0	1.817786439643921	4.736862953800049	0.0754892411228194	3	0.0		0.599	1.694	-22.894680688919372	2.027446211039524		-0.003
Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1	0.0	4	14.56	0.9478234509579738	0.0	1.571565416347585	17.888501324225544	0.09765241596807672	9	3.7797473212536064	4.144300144300144	1.584	0.341	-46.324074074074076	1.3365612927046724	0.7745746533373332	0.072
CNCCCN1c2ccccc2CCc2ccccc21	25.037094525352817	8	14.54	0.9783782094542051	0.0	1.5446445932752373	12.841643245852019	0.34802220680083257	15	5.697612433862435	1.9193548387096775	2.343	0.316	14.0408163265306	1.102160892542572	0.823603072181827	0.235
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1	0.0	6	14.59	0.5282078755340933	-2.0198909255060045	0.8780876174720714	0.0	0.19071108439003062	6	-1.0023109305450553	7.482758620689655	0.481	0.262	31.11550468262228	0.49771528998242553	1.2502037326130901	-0.677
C/C(=C\[C@@H](O)C[C@H](C)[C@@H]1CC(=O)[C@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3=O)C(=O)O	0.0	0	13.64	0.641418080959353	-1.9530629603456942	0.5374734194463895	19.178148736287287	0.3724972000995521	3	0.0	2.111111111111111	1.166	0.161	67.04149975965387	0.4868023152051189	1.0354246768287039	1.011
O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1	19.634269217737724	9	14.55	0.9195212652594612	0.04429867475228377	1.1398051979583765	6.4208216229260096	0.23658789386401327	16	2.133675310323385	2.0076335877862594	1.487	0.25	-8.394463667820052	0.5601432552110747	0.7001237430867382	0.129
C[C@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1	0.0	6	14.54	0.6731630404039529	-3.425502405826629	0.746273594642109	22.37304338372389	0.21900947727567413	8	0.24377856685050792	5.557594291539246	-0.529	0.223	37.873089220285195	0.46991759774695774	1.4175087878924955	-0.299
