SMILES	SLogP	JGI8	Wap	PEOE_VSA6	GATS5d	VSA_EState3	GATS4d	MAXDP	PEOE_VSA1	ATS0d	observed	predicted
COc1cc(Cl)ccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1	-0.1887792718833069	0.34010090035333684	-0.5121550996124997	0.8725228524303656	1.004617080857153	-0.5991087859549475	1.1969993237862995	-1.5674366934300221	0.5756974421203102	-0.9057785807815095	0	0
CC1=C2C[C@H]3[C@@H](CC[C@@H]4Cc5nocc5C[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C	1.4503143451409701	0.7623225268981407	2.501912164716032	0.5983560336196899	-0.5765290885688951	-0.10693435722416005	0.24242094562900912	-1.1234578816628096	0.00989877901769371	1.0489334756662008	1	1
CC(C)(C)c1ccc(-n2nnnc2SCC(=O)Nc2ccc(S(C)(=O)=O)cc2Cl)c(Cl)c1	0.4966942108123295	-0.37064815000665535	-0.306113782499537	1.9936688099666877	-1.650916729945663	0.716958995430023	-1.6979392854272384	0.16338809289019626	-1.0484050667086255	0.07157744744234565	0	1
CCN(CC)CCCC(C)Nc1ccnc2cc(C(F)(F)F)ccc12	1.059642395213037	1.1494552454407463	-0.4818283367905366	-0.3699641941815498	-1.927875192735696	-0.5801373176749722	-1.0583560073963119	-0.3096293038228389	-0.48840324239819444	-0.6569970463245282	0	0
CC(C)(C)CCN1C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C(O)C2(C)CCCN12	-0.934171765304087	0.492242778634116	0.01341415259484829	-0.3215844091480017	-0.26534293978038137	0.9798455582614415	-1.1480549082270823	0.8393530267088152	-0.4647892831367031	0.7823818316051494	1	1
CC(=O)O[C@H]1C[C@H]2[C@@H]([C@H](OC(C)=O)C[C@@H]3CC4(CC[C@@]32C)OOC(C)(C)OO4)[C@@H]2CC[C@H]([C@H](C)CCC(=O)O)[C@@]12C	1.3471083884859056	1.1937148939406481	1.0187656976511081	-0.3215844091480017	0.5669239046367045	0.024952476145656936	0.3455323972294988	0.09942607648727053	0.01029956572511888	1.6886574214127241	0	0
CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1	0.9560732930384258	-1.3923211192390577	2.380463158368162	-0.8090374558698592	-0.4469937273874724	0.48142123875669507	-0.7070288738058619	1.576656371766894	-1.096049399422329	1.2088644621028317	1	1
Cc1cccc(NC(=O)c2nc(C)n(-c3ccc(F)c(Cl)c3)c2C)n1	0.377916574279118	0.19849120616883803	-0.45927038725317854	-0.49673191405448697	-0.801586526837349	-0.7391576237773134	2.087177753034329	0.15851263169598734	-0.5264395050845411	-0.6925372655326684	0	0
COc1cccc2c1N(C1CCN(CC(=O)Nc3ccc4c(c3)-c3ccccc3C4O)CC1)C(=O)OC2	0.4357583926324563	-0.25236152899675435	1.505477978429975	0.9025310022362074	0.4128635687953946	0.5190451309495924	1.1064749766429427	0.3378328044521607	0.6179457227492537	0.8534622700214297	1	1
CC(C)N/C(=N\c1nccn1C(C)(C)C)Nc1ccc(Cl)c(Cl)c1	0.9626825414941689	0.104833869629283	-0.5195496677388762	-0.18442637223911487	-0.7852872098830517	-0.18605638823273482	-1.3865592002589275	-2.2620927808375764	0.08120665193959366	-0.7458475943448787	0	0
