SMILES	VSA_EState5	SdssC	SMR_VSA6	nDouble	EState_VSA5	AATS7se	ATSC4s	AATS5dv	GATS7se	AATS1s	AATS6se	GATS3c	GATS5i	GATS8se	GATS4dv	EState_VSA4	ATSC2c	JGI7	SaasC	SLogP_VSA1	observed	predicted
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O	-0.48	-0.17	0.63	0.19	-1.02	-0.18	0.31	-0.08	0.3	-0.36	0.08	0.4	0.62	0.01	-0.44	0.36	-0.44	0.08	1.07	0.74	0	0
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12	1.14	1.55	-1.07	0.83	0.92	-0.63	-0.58	-0.92	0.42	-1.18	-0.99	-1.58	-0.23	1.72	-0.53	0.17	-0.06	0.6	-1.0	-1.05	1	1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@](C)(F)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	-3.08	-1.78	0.31	0.19	1.69	0.44	-1.56	-0.23	-0.05	-0.27	0.47	0.74	1.1	0.08	0.75	-0.82	-1.61	0.85	-1.0	-1.05	1	1
O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1	-0.44	-0.65	-1.07	0.83	-0.59	-0.13	1.06	-0.15	0.16	-0.01	0.07	-1.27	0.3	-0.3	-0.2	0.47	-0.64	-0.18	0.4	-1.05	1	1
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1	-0.0	-0.9	-0.19	1.46	0.95	0.94	2.71	-0.02	1.58	-0.44	0.76	0.51	0.17	0.28	-0.46	0.84	1.95	-0.07	0.03	2.33	1	1
CCCN[C@H]1CCc2nc(N)sc2C1	-0.06	0.08	-0.28	-1.08	0.81	-0.83	0.05	-0.82	-0.25	-1.05	-1.02	-0.17	0.24	0.85	0.67	0.13	0.76	0.95	0.71	0.81	1	0
C[C@H]1CCN(C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)c2ccc3c(c2)C[C@@H](C)CN3)[C@@H](C(=O)O)C1	-0.71	-1.59	0.55	2.1	-0.16	0.66	-2.36	0.12	0.95	-0.34	0.72	-0.88	0.19	0.55	0.21	0.12	2.36	0.13	-0.05	2.57	1	1
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	1.5	0.08	0.56	-1.08	3.23	-0.92	0.23	-0.73	-0.18	-1.45	-1.09	-0.29	0.4	-0.27	0.26	-0.55	-0.44	0.05	0.6	-1.05	1	0
CCN(CC)CCNC(=O)c1ccc(N)cc1	-0.08	0.04	1.0	-0.44	-1.02	0.11	-0.19	-0.65	2.27	-0.25	-0.69	0.01	-0.58	1.71	-0.41	-0.13	0.2	-0.4	-0.33	0.81	0	0
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1	0.97	0.08	1.48	-1.08	-0.59	-0.53	0.05	-0.35	-0.43	-0.32	-0.59	-0.12	-0.71	-0.24	-0.64	0.49	-0.63	-0.05	0.6	0.57	1	0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1	0.0	0.19	1.41	0.19	-0.29	-0.31	-0.64	-0.26	0.02	-0.24	-0.38	0.65	-0.05	-0.18	0.97	0.87	0.07	0.12	-0.54	0.73	1	0
CNCC[C@@H](Oc1ccccc1C)c1ccccc1	0.46	0.08	-0.19	-1.08	-0.15	-0.83	-0.03	-0.34	-1.34	-0.5	-0.74	1.47	0.21	-1.05	1.38	-0.18	-0.51	-0.64	0.71	0.64	0	0
NNC(=O)c1ccncc1	2.42	-0.21	-1.07	-0.44	-0.05	-0.72	-0.62	0.09	-0.86	2.25	-0.46	-1.71	-0.65	-1.32	1.78	-1.19	-0.5	-2.22	-0.74	0.85	1	1
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O	-0.08	-0.73	0.21	0.83	-1.02	0.05	-1.02	-0.06	0.75	-0.26	-0.07	0.05	0.78	0.37	0.84	0.36	0.39	-0.44	1.3	2.43	1	1
O=C1CN(/N=C\c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1	0.19	-0.89	-0.65	1.46	0.41	1.6	-0.06	1.35	-0.59	2.14	1.28	-0.23	-0.04	0.55	0.3	-0.92	0.59	-0.16	-0.21	-0.15	1	1
Cc1cccc(C)c1NC(=O)[C@H](C)N	-0.14	-0.06	-0.73	-0.44	-1.02	-0.52	-0.77	-0.55	-0.22	0.1	-0.16	-0.23	0.75	-1.84	1.61	-0.28	0.17	2.19	0.51	0.81	1	1
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1	0.7	-0.03	-0.41	-0.44	-1.02	-0.65	0.25	0.38	-0.07	0.19	-0.11	1.19	-0.58	-1.89	0.58	0.42	0.52	-0.45	1.0	0.67	0	0
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O	1.29	0.08	-1.07	-1.08	1.35	-0.6	-0.44	-0.87	0.5	-0.99	-1.02	-1.84	-0.19	1.36	-0.27	0.17	0.08	0.84	0.64	-1.05	0	1
CC(C)(Oc1ccc(Cl)cc1)C(=O)O	-0.34	-0.89	-1.07	-0.44	0.06	0.19	-1.71	-0.08	-0.08	0.87	-0.09	0.61	1.43	1.3	1.49	-1.19	-0.05	1.53	-0.45	-0.25	1	1
Clc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	0.41	0.08	-1.07	-1.08	-0.59	0.04	0.02	-0.07	-0.41	-0.58	0.07	-1.01	0.26	0.27	-0.86	0.05	-0.41	-0.43	1.23	-1.05	1	1
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1	-0.63	-0.94	-0.22	0.83	1.21	-0.27	-1.89	-0.4	-2.15	-0.44	-0.23	-1.51	0.75	-1.08	1.33	-0.5	0.59	0.18	-0.89	-1.05	1	1
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C	0.05	0.08	-0.33	0.83	-0.66	2.49	-2.05	-0.22	0.62	0.04	1.92	-0.81	-0.48	0.03	0.37	-0.86	0.0	-0.58	-0.87	-1.05	1	1
CCO	-0.06	0.08	-0.64	-1.08	-1.02	0.71	0.24	-0.36	0.98	0.58	0.72	-0.25	-1.48	-0.73	-4.8	-1.19	-0.14	-2.22	-1.0	-1.05	1	1
CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1	-0.06	0.08	-0.22	-1.08	0.85	-0.91	0.13	-0.71	0.44	-1.07	-1.3	3.38	0.29	-0.04	-0.83	-0.48	-0.1	0.61	0.49	-1.05	1	0
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1	0.45	0.21	1.8	0.19	0.36	-0.41	1.15	-0.63	-0.44	-0.81	-0.29	0.45	-1.23	-0.42	-0.29	2.28	0.84	-0.06	-0.59	-0.22	0	0
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1	0.43	0.16	2.15	-0.44	-0.59	-0.1	0.1	-0.52	0.27	-0.73	-0.17	0.85	-0.24	0.06	-0.41	2.54	-0.37	-0.16	1.63	1.47	0	0
COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@H]2CCN(Cc3ccccc3)C2)[C@H]1c1cccc([N+](=O)[O-])c1	-1.16	0.39	0.24	2.1	1.39	0.38	-0.4	0.69	0.15	0.39	0.56	0.4	0.48	-0.21	-0.14	-0.48	-0.31	0.55	-0.24	-0.15	1	1
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1	-0.06	0.08	-1.07	-1.08	-0.53	-0.26	-0.06	0.84	-0.55	1.54	-0.25	-1.74	-0.15	-0.72	-0.05	-0.59	-0.56	0.39	0.63	-1.05	1	1
Clc1ccc([C@@H](Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1	-0.06	0.08	-1.07	-1.08	-0.14	0.43	0.19	0.4	-0.55	-0.43	0.32	-0.26	-0.98	-0.14	-0.25	-0.36	-0.68	-0.05	0.92	-1.05	1	1
C#CCN(C)[C@@H](C)Cc1ccccc1	1.38	0.08	-0.19	-1.08	-0.59	-1.2	0.22	-0.85	-1.02	-0.43	-1.1	0.3	-0.61	-1.32	-1.0	-0.84	-0.36	-0.33	-0.31	-1.05	0	0
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	-0.55	0.12	-1.07	0.19	1.28	-1.07	0.23	-0.63	-1.51	-0.36	-1.1	-2.16	-0.0	-0.35	-0.42	-0.29	0.61	0.71	2.31	-1.05	1	1
