SMILES	VSA_EState5	SdssC	SMR_VSA6	nDouble	EState_VSA5	AATS7se	ATSC4s	AATS5dv	GATS7se	AATS1s	AATS6se	GATS3c	GATS5i	GATS8se	GATS4dv	EState_VSA4	ATSC2c	JGI7	SaasC	SLogP_VSA1	observed	predicted
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CCC(=O)O2	0.9	1.46	-1.07	1.46	-0.58	-0.28	-0.15	-0.8	0.75	-0.9	-0.8	0.16	0.13	1.24	-0.53	0.54	0.57	0.48	-1.0	-1.05	1	1
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC	1.17	0.08	1.41	-1.08	-1.02	-0.42	0.9	-0.4	-0.85	0.72	-0.01	-0.04	0.04	-0.62	0.32	0.31	-0.43	0.65	1.64	4.16	1	0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O	-2.29	-0.35	2.07	0.19	0.07	0.32	-1.88	-0.31	-0.04	-0.34	0.36	0.39	0.88	0.03	0.68	-1.19	-2.2	0.6	-1.0	-1.05	1	1
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	0.12	0.08	0.12	-1.08	-1.02	-0.15	-0.07	-0.19	0.69	-0.15	-0.32	0.46	-0.75	-0.15	-0.53	1.37	0.04	0.31	0.93	-0.15	0	0
ClC=C(Cl)Cl	-0.06	0.17	-1.07	-0.44	-1.02	0.61	0.17	-0.97	0.83	-0.94	1.44	-1.54	-2.92	-0.84	-0.71	-0.89	-0.11	-2.22	-1.0	-1.05	1	1
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC	-0.2	-0.94	0.63	0.83	1.5	0.16	-1.5	0.23	-0.07	-0.3	-0.02	-0.19	0.37	0.62	0.44	0.69	0.79	0.51	1.18	0.68	1	1
CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1	-0.14	-0.06	0.63	-0.44	-1.02	-0.66	0.37	-0.31	-0.1	-0.65	-0.35	1.03	0.03	-0.27	0.54	1.16	-0.72	-0.07	0.02	-1.05	1	1
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1	0.8	0.08	1.01	-1.08	0.36	-0.49	-0.22	-0.21	-1.09	-0.33	-0.27	0.63	-0.75	-0.96	-0.47	2.44	0.48	-0.5	1.03	0.64	0	0
CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1	0.26	0.08	1.38	-1.08	1.88	-0.6	0.15	-0.37	0.08	-1.06	-0.66	0.82	0.42	-0.11	0.09	0.23	-1.02	-1.12	0.34	-0.22	1	0
O=C(OC1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12	0.16	0.24	-0.65	0.19	-1.02	0.39	-0.04	-0.16	0.35	-0.39	0.7	0.13	-0.84	-0.69	-0.29	0.78	-0.28	-0.48	-0.69	-1.05	0	1
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1	-0.12	0.68	-0.3	0.19	-1.02	0.1	0.16	0.94	0.07	0.61	0.32	-0.36	0.54	0.83	-0.05	0.27	-0.22	-0.51	0.69	-0.15	1	1
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1	-0.12	0.73	-0.3	0.19	-1.02	0.27	0.19	0.65	0.79	0.36	0.05	-0.29	0.6	1.21	0.05	0.03	-0.06	-0.51	0.62	-0.15	1	1
NC(N)=N/C(N)=N/CCc1ccccc1	-0.03	0.13	-0.65	0.19	-0.59	0.01	0.84	-0.47	0.71	0.9	-0.53	1.06	-0.62	-0.24	-0.15	-0.84	2.87	0.05	-0.39	1.84	0	0
C[C@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1	-0.17	1.27	0.24	0.19	0.7	-0.16	-0.38	-0.2	0.49	-0.29	-0.22	-0.58	0.44	-0.58	0.05	-0.55	-0.29	0.77	0.32	-0.15	1	1
O=[P@]1(NCCCl)OCCCN1CCCl	0.41	0.08	1.4	-0.44	-1.02	-0.19	-0.9	-1.0	-0.33	-1.92	-0.8	1.53	-1.12	0.53	3.45	-0.49	1.34	0.91	-1.0	-0.19	1	0
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C	-4.35	-2.01	1.6	4.64	-0.08	-0.07	-0.31	-0.34	-0.3	-0.47	0.25	-0.01	0.54	-0.06	0.39	-0.54	-3.31	0.13	-1.0	-1.05	1	1
CNCCCN1c2ccccc2CCc2ccccc21	-0.06	0.08	0.55	-1.08	0.73	-0.92	0.01	-0.52	-0.44	-0.84	-1.14	0.49	0.54	0.78	1.25	0.56	-0.34	-0.71	1.9	0.67	0	0
CNCC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1	0.17	0.08	-0.19	-1.08	-0.07	-0.51	-0.6	0.15	-1.69	0.46	-0.07	0.3	-0.76	-0.67	0.02	0.46	-0.33	0.22	-0.62	0.64	0	0
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1	0.62	0.08	1.1	-0.44	0.47	-0.03	0.15	-0.22	-0.17	0.12	-0.16	-0.37	-0.7	0.13	-0.22	1.51	-1.37	0.29	0.26	0.55	0	0
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1	-0.02	0.15	-0.16	-0.44	-0.59	-0.13	-0.58	0.48	0.87	-0.1	0.06	0.91	0.11	0.83	-0.02	0.33	0.01	0.72	1.65	-1.05	0	0
CN(C)c1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)/C=C/CO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1	0.69	4.45	0.59	1.46	0.73	-0.54	-1.07	-0.48	0.05	-0.76	-0.82	-1.34	-0.03	-0.12	-0.16	0.89	-0.23	0.17	0.27	-0.22	1	1
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1	-0.66	-1.32	-0.27	1.46	1.36	1.15	-1.5	1.44	0.09	0.34	0.79	-0.11	-0.54	-0.26	1.26	-0.69	0.72	0.8	-0.35	-0.15	1	1
CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12	1.22	0.08	0.24	-1.08	-0.02	-0.29	0.2	-0.35	0.17	-0.69	-0.47	-0.95	-0.34	0.64	-0.78	1.7	-0.66	-0.34	-0.09	-0.25	1	0
N#Cc1ccc([C@H]2CCCc3cncn32)cc1	-0.06	0.08	-1.07	-1.08	0.36	-0.58	0.01	-0.27	-0.53	0.11	-0.87	-0.68	-0.5	0.69	0.14	-0.2	-0.25	0.25	0.68	-1.05	1	1
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C	1.17	1.66	-1.07	0.83	-0.58	-0.7	-1.18	-0.92	-0.29	-1.1	-1.01	-0.91	0.31	0.85	0.1	0.54	-0.26	1.46	-1.0	-1.05	1	1
CCOc1ccc(NC(C)=O)cc1	0.35	0.02	-0.3	-0.44	-0.48	-0.23	0.24	-0.41	-1.31	0.34	-0.66	2.51	0.99	2.45	-0.09	-0.57	0.59	0.26	-0.19	0.64	0	0
CCCOCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCCOCCC)C1c1cccc([N+](=O)[O-])c1	-1.24	0.13	1.51	2.1	0.4	0.78	-0.69	0.71	0.49	0.25	0.7	0.56	0.79	0.27	-0.08	-0.5	-0.86	0.54	-0.87	-0.15	1	1
COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1	0.54	0.08	0.73	-1.08	-0.52	-0.69	-0.13	-0.66	-0.06	-0.75	-0.52	-0.69	0.42	-0.92	-0.24	0.81	-0.62	0.26	-0.08	-0.25	0	0
O=C(O)CCCC/C=C(\c1ccccc1)c1cccnc1	-0.45	0.49	-1.07	0.19	-1.02	-0.64	-0.19	-0.22	-0.89	0.23	-0.56	-1.51	0.53	-0.83	0.01	0.4	0.4	-1.02	0.14	-1.05	1	1
CCC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O	-0.6	-1.51	-1.07	0.83	-1.02	0.66	3.4	-0.95	2.27	0.11	-0.58	1.17	-0.6	-0.51	0.17	-0.5	2.23	2.47	-1.0	0.74	1	1
CCCCOC(=O)C(=O)Nc1cccc(-c2nnn[nH]2)c1	-0.72	-1.55	-0.3	0.19	-1.02	1.56	-0.31	0.95	1.53	1.28	1.95	-1.26	-0.16	0.1	-0.42	-0.5	-0.74	-0.18	-0.18	-0.15	1	1
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1	0.85	0.2	-0.21	0.19	-1.02	-0.27	-0.44	-0.52	0.09	0.49	-0.48	0.09	-0.11	-0.43	0.44	0.47	1.04	-0.63	0.5	2.47	1	0
CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1	0.07	-0.95	-1.07	0.19	-1.02	0.37	-0.7	-0.24	2.19	-0.42	-0.23	-1.41	-0.37	2.15	-0.55	0.5	0.46	-0.32	-0.53	-0.15	1	1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C	2.94	0.08	-0.61	-1.08	0.35	-0.67	-0.92	-0.83	0.17	-0.81	-1.04	-1.49	-0.01	0.56	0.13	0.85	-0.25	1.0	1.0	-0.25	1	1
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21	-1.06	-0.99	3.03	0.19	-0.07	0.63	2.19	0.7	0.01	0.77	0.63	-0.62	0.65	-0.1	-1.45	-1.19	-0.79	-0.01	-1.04	2.53	1	1
CC1=C(C)C(=O)C([C@@H](CCCCCC(=O)O)c2ccccc2)=C(C)C1=O	-0.61	1.36	-1.07	2.1	-1.02	-0.43	-1.58	-0.3	-0.36	0.04	-0.49	-1.2	0.09	-0.39	1.01	0.15	0.49	0.11	-0.48	-1.05	1	1
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1	-1.2	0.27	0.7	2.1	0.95	0.48	-0.47	0.55	0.43	0.54	0.55	0.19	0.44	0.03	-0.21	-0.89	-0.48	0.63	-0.28	-0.15	0	1
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1	0.05	-0.29	-0.64	-0.44	-1.02	-0.53	-1.17	-0.25	-0.88	0.07	-0.42	2.4	2.22	-0.44	2.81	-1.19	-0.5	0.14	-0.39	-0.25	1	1
CC[C@]1(c2ccccc2)NC(=O)N(C)C1=O	-0.16	-0.42	-0.62	0.19	-0.47	-0.88	-0.2	-0.37	-0.74	0.35	-0.26	0.72	0.26	-0.96	1.86	-0.63	1.08	2.19	-0.58	-0.15	1	1
C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1	-0.93	-0.88	-1.07	0.19	-1.02	0.27	-1.16	0.39	-0.35	0.91	0.04	-1.09	-0.12	-0.67	0.89	-1.19	0.18	0.01	-0.11	-1.05	1	1
CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	0.44	2.63	0.7	-0.44	1.15	-0.88	0.3	-0.12	-0.82	-0.5	-0.94	0.11	-0.0	0.62	-0.05	-0.18	-0.81	-0.27	1.36	-0.25	0	0
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1	-0.23	-0.9	-0.65	1.46	0.89	1.13	2.54	0.08	2.36	-0.35	0.8	0.38	-0.33	0.61	-0.6	1.15	1.55	-0.09	-0.07	1.53	1	1
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1	-0.06	0.08	-1.07	-1.08	-1.02	-0.71	0.42	0.58	0.12	-0.04	-0.38	-0.22	0.61	-0.56	0.17	-0.02	-0.43	-0.27	1.04	-1.05	1	1
Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1	-0.06	0.08	-0.7	-1.08	-1.02	-0.1	-0.19	-0.73	0.02	-0.71	-0.43	-0.71	-0.76	0.17	-0.47	1.64	0.01	0.45	0.95	0.81	1	0
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	0.12	-0.05	1.78	-0.44	-0.59	-0.27	0.61	0.2	-0.13	-0.03	-0.04	0.36	-0.45	0.03	-1.06	1.79	0.61	0.14	2.34	0.74	1	0
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1	0.53	1.13	2.34	-0.44	0.18	-0.62	0.28	-0.14	-1.21	-0.53	-0.32	-0.29	-0.75	-0.37	-0.66	1.2	-1.17	-0.46	1.41	-1.05	0	0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl	-0.54	-0.77	-0.73	-0.44	-1.02	0.79	0.36	0.64	0.78	0.69	0.93	-0.78	-0.82	-0.64	-0.98	-1.19	0.48	1.33	0.47	-0.15	1	1
COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1	-1.45	-1.22	-0.61	2.1	0.87	0.78	-1.59	1.5	-0.27	1.48	1.32	0.67	0.83	-0.56	-0.28	-0.81	0.2	1.14	-0.96	-0.15	1	1
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12	-0.06	0.08	1.37	-0.44	-0.58	-0.04	-0.01	-0.53	-0.07	-0.42	-0.24	0.68	-0.15	0.58	0.1	1.19	0.05	-0.14	0.0	0.73	0	0
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]	-0.06	0.08	-0.21	0.83	-1.02	11.17	-4.36	4.44	-1.98	5.59	8.33	-1.14	-2.58	-2.03	1.68	-1.19	0.57	-0.56	-1.0	-1.05	1	1
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O	-0.67	-1.75	-1.07	0.83	-1.02	0.37	3.03	-0.13	1.12	1.05	-0.02	1.37	-0.01	1.16	0.2	-1.19	2.1	0.26	-0.7	0.74	1	1
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)[C@H]1c1ccccc1[N+](=O)[O-]	-1.22	0.02	-0.18	2.1	0.95	1.02	-0.85	1.1	0.03	0.7	1.19	0.43	1.22	0.41	-0.06	-1.19	0.01	-0.23	-0.98	-0.15	1	1
CNC(=O)Oc1cc(C)c(SC)c(C)c1	0.26	-0.34	-0.21	-0.44	-0.09	1.01	0.19	-0.5	3.07	-0.02	-1.11	1.05	2.03	-1.28	1.44	-0.59	1.5	0.17	1.07	0.64	0	0
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1	-0.32	0.08	1.05	-0.44	1.31	-0.48	0.0	-0.21	-0.67	-0.12	-0.61	-0.09	-1.1	2.09	-0.76	1.18	-0.62	0.02	0.41	-1.05	0	0
c1ccc(C2(c3ccccc3)C[C@H]2C2=NCCN2)cc1	0.87	1.25	-0.22	-0.44	0.3	-0.65	0.09	-0.07	0.82	-0.63	-0.69	0.27	0.88	-0.42	-0.04	-0.14	-0.08	-0.87	0.43	-0.15	0	0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC	3.04	1.78	-1.07	0.19	0.42	-0.78	-0.66	-0.92	0.09	-1.08	-1.21	-1.35	0.27	0.68	0.22	1.24	-0.04	1.0	-1.0	-1.05	1	1
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1	-0.06	-0.67	-0.73	0.83	0.42	1.08	4.15	0.55	2.19	-0.12	0.69	2.64	-0.33	-0.07	-1.15	-0.58	1.97	0.75	0.02	1.53	1	1
CCc1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1	0.25	-0.38	-0.64	0.19	-0.59	0.32	0.66	-0.09	0.56	0.03	0.09	0.62	-0.24	-0.32	-0.16	1.06	0.91	-0.89	1.05	0.64	1	1
COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13	-0.16	0.97	-0.61	1.46	-0.46	0.52	-1.69	-0.24	0.75	-0.69	0.0	-0.53	0.18	-0.04	-0.13	0.84	0.58	0.63	-1.0	-1.05	1	1
C[C@H](N)C(=O)c1ccccc1	-0.06	0.08	-1.07	-0.44	-1.02	-1.37	-0.61	-0.64	-1.81	0.45	-1.03	-0.6	1.65	-2.03	2.58	-1.19	-0.4	-2.22	-0.65	-0.08	1	1
CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC	-0.08	-0.27	0.67	0.83	0.95	0.85	-0.22	-0.25	1.09	-0.6	0.69	-0.26	0.46	0.86	-0.66	0.21	0.33	-0.68	-0.81	1.51	1	1
CCc1cccc2cc([C@H](O)CNC(C)(C)C)oc12	0.28	0.08	-0.65	-1.08	-0.59	-0.06	0.13	-0.55	1.98	-0.5	-0.05	0.7	0.53	-0.61	-0.35	-0.25	-0.46	1.3	-0.08	-0.15	0	0
CCc1ccccc1	-0.06	0.08	-1.07	-1.08	-0.59	-1.84	0.09	-1.27	-2.34	-0.73	-1.82	-0.17	-0.45	-0.5	0.46	-0.84	-0.14	-2.22	-0.28	-1.05	1	1
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1	0.08	0.32	0.2	-0.44	0.28	-0.57	0.1	-0.45	0.3	-0.8	-0.92	1.15	-0.03	1.53	0.03	1.21	-0.61	-0.49	1.29	-1.05	1	0
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1	0.82	0.08	1.8	-0.44	-0.58	-0.05	-0.62	-0.37	0.3	-0.56	-0.28	0.95	0.23	0.77	1.03	2.16	-0.23	-0.18	0.82	1.53	1	0
COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12	0.1	-0.35	-0.61	-0.44	-1.02	0.43	0.39	0.93	0.71	0.23	0.44	0.35	0.25	-0.52	-0.42	0.6	-0.82	0.23	0.43	-0.25	1	1
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	0.36	0.9	-1.07	1.46	-0.58	-0.4	0.28	-0.59	-0.41	-0.79	-0.49	0.77	-0.19	-0.26	0.64	0.2	0.42	0.12	-1.0	-1.05	1	1
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21	-0.06	0.08	1.01	-1.08	0.73	-0.51	0.08	-0.48	0.61	-0.95	-0.77	1.01	0.68	0.68	0.36	0.83	-0.39	0.26	2.18	-0.22	0	0
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC	0.42	0.08	1.37	-0.44	-0.58	-0.41	-0.37	-0.73	-0.44	-0.78	-0.47	1.3	0.21	0.4	1.53	1.85	0.12	0.01	0.46	0.73	0	0
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21	-2.09	0.01	0.24	1.46	0.76	0.43	-0.45	0.42	1.09	-0.19	0.22	0.45	0.21	0.36	0.5	0.36	0.97	0.35	0.65	-0.15	1	1
CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)[C@H](c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1	-0.91	0.86	0.96	2.1	-0.07	0.32	-0.84	0.56	0.3	-0.17	0.56	0.67	0.77	0.02	0.27	-0.58	0.15	0.36	0.19	0.67	1	1
CCCCC/N=C(\N)N/N=C\c1c[nH]c2ccc(CO)cc12	0.12	0.39	-0.65	0.19	-1.02	0.31	-0.02	-0.16	0.82	0.14	0.15	-0.9	0.44	0.32	-0.34	1.39	0.72	-0.56	-0.09	0.83	0	1
CCOc1cc(N)c(Cl)cc1C(=O)NC[C@@H]1CN(Cc2ccc(F)cc2)CCO1	-0.13	-0.2	1.44	-0.44	0.4	0.4	0.28	-0.07	0.18	0.12	0.23	0.46	-0.26	0.68	-0.53	-0.54	-0.62	-0.63	0.11	1.61	1	1
O=C(N[C@H](Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1	-0.98	-1.56	-1.07	0.83	0.4	1.27	-1.43	1.09	0.63	1.1	0.92	-1.19	0.33	0.88	0.31	-0.9	1.1	0.14	-0.33	0.78	1	1
CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2	-0.76	-0.39	2.79	2.1	1.06	0.08	-0.42	0.46	0.25	-0.34	0.31	-0.2	1.37	-0.14	-0.01	1.67	-2.14	0.66	1.39	0.57	0	1
O=NN(CCCl)C(=O)NC1CCCCC1	0.06	-0.33	-0.27	0.19	-0.52	0.5	0.86	-0.47	0.76	0.02	0.91	0.69	-0.96	0.41	0.34	0.47	1.04	-0.5	-1.0	-0.15	1	1
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O	1.35	2.06	-1.07	0.19	-0.08	-0.77	-0.64	-0.95	-0.04	-1.38	-1.05	-1.01	-0.07	1.47	-0.06	1.56	-0.16	0.6	-1.0	-1.05	1	1
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1	-0.14	-0.39	-0.73	-0.44	0.41	1.5	-1.64	1.03	0.07	2.29	1.43	0.93	-0.92	-0.73	0.59	-0.53	0.42	0.79	-0.97	-0.15	1	1
CCN(CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12	-0.06	0.08	0.55	-1.08	-0.01	-0.64	0.25	-0.8	-0.07	-0.96	-1.01	2.58	-0.26	-0.11	-0.7	1.03	-0.16	-0.27	-0.05	-0.15	0	0
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12	-0.1	0.63	-0.64	1.46	-1.02	-0.26	-0.31	-0.65	-0.31	-0.4	-0.39	-1.58	0.47	0.49	-0.3	-0.2	-0.73	1.06	-1.0	-1.05	1	1
Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1	0.58	0.08	0.07	-0.44	-1.02	0.46	0.14	0.26	0.76	0.08	0.35	-0.02	0.23	-0.64	-0.15	0.77	1.21	0.47	-0.5	0.81	1	1
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	0.27	0.08	-0.33	-1.08	-1.02	-0.57	0.54	-0.23	-1.46	0.53	-0.37	0.11	1.38	1.6	1.48	0.06	1.64	0.19	0.99	0.88	1	1
COC(F)(F)C(Cl)Cl	-0.06	0.08	-0.61	-1.08	-1.02	0.34	-1.64	-1.32	-0.62	1.66	0.43	-1.13	-4.65	-0.52	2.73	-0.81	-0.34	-2.22	-1.0	-1.05	1	1
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)[C@H]1c1cccc([N+](=O)[O-])c1	-1.19	0.32	1.95	2.1	1.82	0.01	-0.01	0.31	-0.06	0.16	0.13	0.08	0.29	-0.03	-0.3	0.22	-0.81	0.44	0.42	-0.15	1	1
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C	1.76	4.14	-1.07	0.83	3.85	-1.03	0.22	-0.97	-1.13	-1.56	-1.37	-0.47	0.27	-0.16	-0.28	1.13	-0.1	0.22	-1.0	-1.05	1	1
Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	-0.06	0.08	-1.07	-1.08	-1.02	0.04	0.21	0.34	-0.87	-0.24	0.26	-0.49	-0.73	-0.28	-0.2	-0.59	-0.68	-0.43	0.94	-1.05	1	1
CN1CCN(CCCCN2C(=O)CN(/N=C\c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1	0.46	-0.49	2.37	0.83	0.24	0.32	1.45	-0.16	-0.04	-0.24	0.28	0.27	-1.03	0.41	-1.08	1.57	-0.23	0.03	0.38	-1.05	1	1
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1	0.06	0.14	1.48	-0.44	0.78	-0.1	-0.72	-0.16	-0.11	-0.42	-0.37	-0.12	-1.42	-0.02	-0.39	2.5	0.79	-0.2	0.4	-0.15	0	0
Cc1cc(N(C)C)ccc1C[C@H](C)N	-0.06	0.08	0.16	-1.08	0.29	-1.34	0.22	-1.01	-1.58	-0.71	-1.0	0.17	0.7	1.71	-0.08	-0.84	-0.25	2.75	1.0	0.74	0	0
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2	0.82	0.87	-1.07	-0.44	-1.02	0.45	0.1	0.76	0.02	0.15	0.14	0.92	1.14	1.12	0.73	0.65	-0.13	-0.17	1.9	-1.05	1	1
CNS(=O)(=O)Cc1ccc2[nH]cc(CCCN3CCN(c4ncncc4OC)CC3)c2c1	0.79	0.08	2.3	0.19	-0.04	-0.33	-0.13	-0.43	-1.05	-0.65	-0.26	-0.84	-0.33	0.39	-0.18	2.47	-1.18	-0.22	0.83	1.37	0	0
Oc1nc2cc(Cl)ccc2o1	-0.06	0.08	-1.07	-1.08	-1.02	0.61	0.11	0.3	0.66	1.88	1.67	-0.45	-0.33	-0.41	1.4	-1.19	1.95	-2.22	-0.88	-1.05	0	1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O	-0.97	-1.54	-0.22	0.83	-0.64	-0.01	-2.59	-0.06	0.02	0.07	0.13	-0.76	0.88	0.3	1.43	-0.89	-0.23	-0.16	-0.44	-0.15	1	1
ClC(Cl)Cl	-0.06	0.08	-1.07	-1.08	-1.02	1.43	0.17	-0.78	2.17	-2.37	-0.86	-1.33	-2.8	-0.12	0.32	-1.19	-0.07	-2.22	-1.0	-1.05	0	1
FCOC(C(F)(F)F)C(F)(F)F	-0.06	0.08	-0.63	-1.08	-1.02	0.38	3.63	5.46	1.49	5.83	-0.24	0.06	-1.54	0.28	-1.61	-1.19	-0.53	-2.22	-1.0	-1.05	1	1
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1	-0.27	-0.88	-0.64	-0.44	-1.02	-0.03	-0.16	1.03	-0.44	1.0	0.34	-0.22	0.58	0.14	0.08	0.01	1.54	-0.41	1.59	-0.25	1	1
