feature;importance;normalized_importance;cumulative_importance
ATS0d;13.4;0.025504377617053674;0.025504377617053674
SLogP;11.7;0.022268747620860296;0.047773125237913966
GATS2c;11.5;0.02188808526836696;0.06966121050628092
AATS7i;9.799999999999999;0.01865245527217358;0.08831366577845451
AATS2i;8.5;0.016178149980966883;0.10449181575942139
EState_VSA3;6.2;0.011800532927293491;0.11629234868671488
PEOE_VSA6;6.199999999999999;0.01180053292729349;0.12809288161400836
AATS4i;6.000000000000001;0.011419870574800154;0.13951275218880851
ATSC8se;5.6000000000000005;0.010658545869813477;0.150171298058622
AATS5i;5.5;0.010468214693566806;0.16063951275218882
PNSA3;5.3999999999999995;0.010277883517320136;0.17091739626950897
AATS1i;5.399999999999999;0.010277883517320134;0.18119527978682912
AATSC1Z;5.1000000000000005;0.00970688998858013;0.19090216977540925
RBF;5.1;0.009706889988580129;0.20060905976398938
GATS1i;5.099999999999999;0.009706889988580127;0.2103159497525695
PNSA1;4.7;0.008945565283593453;0.21926151503616295
SMR_VSA7;4.4;0.008374571754853446;0.2276360867910164
MAXDN;4.3999999999999995;0.008374571754853444;0.23601065854586986
AATSC3s;4.3;0.008184240578606776;0.24419489912447664
AATS3i;4.1;0.007803578226113437;0.25199847735059006
IC2;4.0;0.007613247049866769;0.2596117244004568
AATSC5d;4.0;0.007613247049866769;0.2672249714503236
GATS2se;3.9999999999999996;0.007613247049866768;0.27483821850019036
Jhetv;3.4999999999999996;0.006661591168633422;0.28149980966882376
AATS0s;3.3;0.006280928816140083;0.2877807384849638
H-046;3.3;0.006280928816140083;0.2940616673011039
ATSC8c;3.2;0.006090597639893415;0.3001522649409973
PEOE_VSA7;3.1;0.0059002664636467455;0.306052531404644
GATS3Z;3.1;0.0059002664636467455;0.3119527978682907
ATSC1Z;3.0999999999999996;0.005900266463646745;0.31785306433193744
ATSC6dv;3.0000000000000004;0.005709935287400077;0.32356299961933754
MATS3s;3.0;0.005709935287400076;0.32927293490673765
MATS1c;2.9;0.005519604111153407;0.3347925390178911
AATS0i;2.8000000000000003;0.005329272934906738;0.34012181195279784
AATSC1s;2.8000000000000003;0.005329272934906738;0.3454510848877046
MATS6s;2.7000000000000006;0.00513894175866007;0.3505900266463647
AATSC6dv;2.7000000000000006;0.00513894175866007;0.35572896840502477
AATSC1v;2.7000000000000006;0.00513894175866007;0.36086791016368486
ATSC7s;2.7;0.005138941758660069;0.36600685192234494
ATSC8dv;2.7;0.005138941758660069;0.37114579368100503
ATSC6Z;2.7;0.005138941758660069;0.3762847354396651
EState_VSA9;2.6;0.0049486105824134;0.38123334602207853
X1A;2.5000000000000004;0.004758279406166731;0.3859916254282453
GATS1c;2.5000000000000004;0.004758279406166731;0.390749904834412
EState_VSA2;2.5;0.00475827940616673;0.39550818424057876
GATS6d;2.5;0.00475827940616673;0.4002664636467455
PEOE_VSA9;2.4000000000000004;0.004567948229920062;0.4048344118766656
X0A;2.4000000000000004;0.004567948229920062;0.40940236010658565
ATSC0c;2.4;0.004567948229920061;0.4139703083365057
JGI7;2.3000000000000003;0.004377617053673392;0.4183479253901791
AATSC7i;2.3000000000000003;0.004377617053673392;0.4227255424438525
SLogP_VSA5;2.3;0.0043776170536733916;0.4271031594975259
ATSC2c;2.3;0.0043776170536733916;0.4314807765511993
ATSC5s;2.3;0.0043776170536733916;0.4358583936048727
JGI4;2.3;0.0043776170536733916;0.4402360106585461
IC1;2.2;0.004187285877426723;0.44442329653597284
SdssC;2.1999999999999997;0.004187285877426722;0.4486105824133996
PEOE_VSA10;2.1000000000000005;0.003996954701180055;0.45260753711457963
ATSC1se;2.1;0.003996954701180054;0.4566044918157597
GATS1se;2.0000000000000004;0.0038066235249333853;0.46041111534069307
AATS8Z;2.0;0.0038066235249333844;0.46421773886562645
GATS7s;2.0;0.0038066235249333844;0.46802436239055983
AATSC8i;2.0;0.0038066235249333844;0.4718309859154932
AATSC1i;2.0;0.0038066235249333844;0.4756376094404266
EEig03d;2.0;0.0038066235249333844;0.47944423296536
GATS3s;1.9999999999999998;0.003806623524933384;0.48325085649029337
GATS8c;1.9000000000000004;0.003616292348686716;0.4868671488389801
EEig02d;1.9000000000000004;0.003616292348686716;0.4904834411876668
ATSC6d;1.9000000000000004;0.003616292348686716;0.4940997335363535
ww;1.9;0.003616292348686715;0.4977160258850402
SIC0;1.8000000000000003;0.003425961172440046;0.5011419870574803
AATS6i;1.8000000000000003;0.003425961172440046;0.5045679482299203
GATS4s;1.8;0.003425961172440046;0.5079939094023604
EState_VSA5;1.8;0.003425961172440046;0.5114198705748005
MAXDP;1.8;0.003425961172440046;0.5148458317472406
O-058;1.8;0.003425961172440046;0.5182717929196807
Wap;1.8;0.003425961172440046;0.5216977540921208
AATS8s;1.8;0.003425961172440046;0.5251237152645609
PW3;1.7999999999999998;0.0034259611724400457;0.528549676437001
GATS4d;1.7000000000000004;0.003235629996193377;0.5317853064331944
GATS4dv;1.7000000000000004;0.003235629996193377;0.5350209364293879
AATSC6i;1.7000000000000002;0.0032356299961933768;0.5382565664255813
GATS7Z;1.7000000000000002;0.0032356299961933768;0.5414921964217747
RBN;1.7000000000000002;0.0032356299961933768;0.5447278264179681
ATS0dv;1.7000000000000002;0.0032356299961933768;0.5479634564141616
AATSC8Z;1.7000000000000002;0.0032356299961933768;0.551199086410355
AATSC5p;1.7000000000000002;0.0032356299961933768;0.5544347164065484
AATSC5i;1.7;0.0032356299961933763;0.5576703464027418
SLogP_VSA1;1.7;0.0032356299961933763;0.5609059763989352
