SMILES	SLogP	SLogP_VSA2	ATSC3c	ATSC2c	ATSC4c	SdssC	ATSC1dv	Jhetv	ATSC1p	SLogP_VSA3
CC(=O)OC(C)(C)C	1.3479999999999999	11.570356098935537	-0.24477667502973052	0.2275257074013177	0.1210843722500704	-0.22453703703703654	40.959999999999994	2.8721995274958934	-1.0721536292656366	9.53140013787187
CCC(C)O	0.7771999999999999	11.210493782589008	-0.020597585537930806	0.0137971430501785	-0.011070974950270927	0.0	4.5600000000000005	2.3579643616463546	-0.2880182680217783	0.0
CC(C)Cc1ccc(C(C)C(=O)O)cc1	3.073200000000001	11.075832682792555	-0.0582277152171059	0.1320859085697001	0.030654523663591157	-0.7716577958343829	37.12121212121212	2.7097216685022296	0.35014870121212055	11.21535880699783
OCCNCCO	-1.4393999999999998	36.5163315305324	0.2214354068944624	-0.14365460618999626	-0.15070170328583313	0.0	-8.827160493827162	2.0201500458839146	-0.36759508925533546	0.0
N[C@@H](CC(=O)O)C(=O)O	-1.127	28.193506194733068	0.0310303334722805	0.3062143846238887	-0.4075368920587664	-2.4978703703703693	5.734375	3.273962447293075	0.41817756302499554	9.589074368143644
C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O	-1.5149999999999972	120.25518144124406	0.2556858297392754	-0.16704497685983094	0.2579074198990284	0.39227511986543295	54.13840830449827	1.1864572099993376	2.8977479486198283	19.005126045471968
CC(C)CO	0.6347	11.713409359353623	0.04635885108518486	-0.029715676716879462	-0.05349073247880977	0.0	0.5599999999999992	2.363725989982446	-0.2880182680217783	0.0
OCCCc1ccccc1	1.6115	11.713409359353623	-0.004349120357631999	-0.0396543987098759	-0.013571887213196944	0.0	2.8181818181818223	2.373347920337637	0.36156421636364144	6.4208216229260096
Cc1cccc(N)c1	1.5772199999999998	0.0	-0.05169095764682605	0.05582106386800158	0.033156269828021764	0.0	12.823529411764701	2.969265854267805	0.4999675199999992	0.0
ClC(Cl)Cl	1.9864	4.2954515122943855	0.0	0.0013855373787730703	0.0	0.0	-3.7377777777777776	2.512197980821611	-0.011100434593960016	0.0
CCCCCCO	1.559	11.713409359353623	0.015306511393706812	-0.03446475550973309	0.0010041387008505563	0.0	-1.5328798185941035	2.3698103881992707	-0.24991208704399748	0.0
