SMILES	H-050	AATS0d	AATS0i	AATSC0c	AATSC0i	AATSC1c	GATS1v	GATS1se	ESpm02u	EEig04u	SIC3	ZMIC1	B01(C-N)	nAr_NH	nCOO	observed	predicted
C=CCN(CC=C)CC=C	-0.75	-1.35	0.12	-0.89	-0.23	0.83	1.12	1.03	-0.93	-0.4	-1.71	-0.52	1.06	-0.16	-0.32	2.5648435325438337	2.4440742047095387
CC1(C)C2CCC1(C)C(Cl)C2	-0.75	-0.06	-0.02	-1.21	-0.35	0.92	0.46	-0.97	0.32	0.25	-0.57	-0.56	-0.94	-0.16	-0.32	2.6076158432431322	2.5316109066926273
COc1cc(C(=O)Nc2ccc3nn(C4CCCCC4)nc3c2)cc(OC)c1OC	0.01	0.4	0.02	0.16	-0.09	0.24	0.04	-0.21	1.5	1.37	0.02	0.87	1.06	-0.16	-0.32	2.6060049568194357	2.623393550154322
CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)[O-])c1I	0.01	0.14	-0.6	0.16	0.06	0.34	-1.07	-0.85	0.85	0.99	0.54	2.17	1.06	-0.16	2.52	2.6831821710974526	2.682287279495742
CCCCCCCCCCCl	-0.75	-1.63	0.23	-1.21	-0.43	1.02	1.39	-0.71	-0.93	-0.27	-1.39	-0.07	-0.94	-0.16	-0.32	2.383546091724474	2.385961893848929
[O-][n+]1nc(-n2ccnc2)nc2ccc(Cl)cc21	-0.75	1.77	0.08	0.87	0.3	0.44	-0.9	-0.91	0.69	0.79	1.35	-0.37	1.06	-0.16	-0.32	2.6581545470672103	2.6616667349522967
O=c1nn[nH]c2ccccc12	0.01	1.14	0.06	-0.1	0.26	0.24	-1.07	-1.01	-0.09	0.15	1.13	-0.68	1.06	5.43	-0.32	2.690329006973969	2.6835803726155967
CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C	0.77	0.11	0.07	-0.69	-0.24	0.34	0.52	-0.53	1.6	1.37	0.14	0.69	1.06	-0.16	-0.32	2.7211095747344105	2.691137789579875
CCCOC(=O)NCCC[NH+](C)C	0.77	-1.29	0.7	0.35	-0.4	-0.82	1.88	0.27	-0.4	0.13	0.02	-0.79	1.06	-0.16	-0.32	2.5280807144913133	2.531037687224149
CCCCSCC	-0.75	-1.81	0.08	-1.21	-0.2	1.02	1.3	0.78	-1.77	-1.47	0.0	-0.99	-0.94	-0.16	-0.32	2.2505419780102724	2.245252044754861
C/C=C/C/C=C/CCC(=O)C1OC1C(N)=O	0.77	-0.43	0.08	0.03	-0.24	0.05	0.33	-0.36	0.25	0.43	0.72	-0.32	1.06	-0.16	-0.32	2.564251689331629	2.5641578610692095
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1Cl	0.01	0.3	-0.28	-0.49	-0.13	0.34	-0.32	-0.89	1.04	0.88	-0.18	0.84	1.06	-0.16	-0.32	2.6381396839611964	2.6639572895045576
C1=NN(c2ccccc2)CC1	-0.75	0.06	-0.12	-0.82	0.01	1.12	-0.18	-0.72	-0.18	-0.11	0.68	-0.58	1.06	-0.16	-0.32	2.5120837583439175	2.5121634791581995
O=C1C=CC(=O)C1	-0.75	0.38	-0.49	0.09	-0.22	0.34	-0.52	-1.13	-0.93	-1.61	-0.14	-0.92	-0.94	-0.16	-0.32	2.491571785500985	2.4808522024049107
CC(=O)N(C)C(C)=O	-0.75	-0.83	0.54	-0.04	-0.32	-0.43	1.39	-0.73	-0.93	-2.0	-1.33	-0.9	1.06	-0.16	-0.32	2.3947142795333423	2.411952277321262
C[N+](C)(C)CCOC(=O)NCCCCCCNC(=O)OCC[N+](C)(C)C	0.77	-0.94	0.66	0.22	-0.38	-0.53	1.89	0.19	0.95	1.19	-1.36	0.74	1.06	-0.16	-0.32	2.651423400759052	2.6505479801331835
CN=C=S	-0.75	-1.61	-0.27	-0.69	0.62	0.73	-0.45	-0.01	-2.98	-1.05	-0.37	-1.26	1.06	-0.16	-0.32	2.490169250834894	2.487314123827472
OCCCCCCCCO	0.77	-1.61	0.44	-0.3	-0.47	0.34	1.66	0.71	-1.11	-0.47	-1.39	-0.3	-0.94	-0.16	-0.32	2.5265331155907425	2.521350191563781
