SMILES	H-050	AATS0d	AATS0i	AATSC0c	AATSC0i	AATSC1c	GATS1v	GATS1se	ESpm02u	EEig04u	SIC3	ZMIC1	B01(C-N)	nAr_NH	nCOO	observed	predicted
Nc1ccc(CCc2ccc(N)cc2)cc1	2.3	-0.09	-0.25	-0.36	-0.07	0.15	-0.55	1.95	0.39	0.84	-0.42	0.3	1.06	-0.16	-0.32	2.61294271588699	2.6218361515066038
CCC12CCCN3CCC4(c5cccc(OC)c5N(C(C)=O)C4CC1)C32	-0.75	0.45	-0.07	-0.56	-0.19	0.63	0.29	-0.29	1.57	1.31	0.51	0.31	1.06	-0.16	-0.32	2.6822804901301343	2.6533951099190896
O=C(O)Cc1ccc2ccccc2c1	0.01	0.46	-0.75	0.09	-0.21	-0.34	-0.75	-0.34	0.25	0.48	0.7	-0.1	-0.94	-0.16	2.52	2.6182050422592695	2.617513091302095
O=CF	-0.75	-1.76	3.47	1.98	3.34	-1.7	1.2	0.08	-3.76	-1.05	1.35	-1.46	-0.94	-0.16	-0.32	2.117105502761251	2.1213958529573698
NS(=O)(=O)c1cc2c(s1)C(O)CCS2(=O)=O	1.54	1.34	-0.31	0.29	0.24	-0.34	-0.81	-0.8	0.75	0.77	0.74	-0.1	-0.94	-0.16	-0.32	2.640630482724411	2.6626686412234886
OC1CCCCC1	0.01	-1.11	0.27	-0.56	-0.4	0.44	1.11	0.5	-1.11	-1.44	-1.07	-0.81	-0.94	-0.16	-0.32	2.4750170755177985	2.442469748332775
COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)ON=C(c2ccccc2)c2ccccc2)n1	-0.75	0.79	-0.27	0.81	-0.03	-0.63	-0.26	0.04	2.05	1.58	-0.26	2.88	1.06	-0.16	-0.32	2.6043880730385607	2.602985867514606
CCCc1cccc(C)c1	-0.75	-0.82	-0.29	-1.21	-0.25	1.02	0.44	1.04	-0.51	-0.11	0.48	-0.7	-0.94	-0.16	-0.32	2.2802368096096894	2.2863603926458227
COc1ccc2c(c1)N(CC(C)CN1CCC(O)CC1)c1ccccc1S2	0.01	0.17	-0.24	-0.43	-0.09	0.63	-0.04	0.37	1.36	1.18	0.47	0.67	1.06	-0.16	-0.32	2.613471827163333	2.616133198445621
Oc1ccc2ccccc2c1/N=N/c1ccccc1	0.01	0.76	-0.68	-0.3	-0.02	0.34	-0.89	-0.15	0.75	0.63	0.63	0.83	1.06	-0.16	-0.32	2.609754439128856	2.6162728931861263
O=S1(=O)CCCC1	-0.75	-0.29	0.05	-0.69	-0.12	0.73	0.57	-1.7	-0.78	-1.76	-0.83	-0.81	-0.94	-0.16	-0.32	2.4782056360118823	2.485266604547932
Cc1ccc(NC(=S)Nc2ccc(C)cc2)cc1	0.77	0.08	-0.5	-0.62	0.04	0.24	-0.57	1.09	0.58	0.89	-0.35	0.44	1.06	-0.16	-0.32	2.6591076791998134	2.6605928150930604
CCCCCCCCCCCCCCCCI	-0.75	-1.55	0.1	-1.21	-0.29	1.02	0.99	1.97	-0.18	0.35	-2.52	1.42	-0.94	-0.16	-0.32	2.4700427875572135	2.4651175502583365
Oc1ccccc1S	0.77	-0.01	-0.88	0.61	-0.01	-0.63	-0.77	0.63	-0.78	-1.05	1.08	-0.74	-0.94	-0.16	-0.32	2.445059047392219	2.446269868677409
CCSCC(=O)O	0.01	-1.22	0.05	0.94	-0.12	-1.41	0.28	-0.04	-1.52	-2.0	0.29	-1.1	-0.94	-0.16	2.52	2.4226718983272866	2.4234641913800012
Nc1cccc(N)n1	2.3	-0.19	0.67	0.81	0.07	-1.6	-0.82	1.93	-0.78	-1.38	0.87	-0.89	1.06	-0.16	-0.32	2.596212107141384	2.5937807786371203
O=C(O)c1ccccc1C(=O)Nc1cccc2ccccc12	0.77	0.88	-0.76	0.22	-0.12	-0.53	-0.95	-0.37	1.0	0.84	0.26	1.1	1.06	-0.16	2.52	2.6610076909010316	2.6632913427951306
O=[N+]([O-])c1cccc(F)c1	-0.75	0.8	0.63	0.03	1.45	0.92	-0.67	-1.54	-0.4	-0.11	1.35	-0.65	1.06	-0.16	-0.32	2.497137064051958	2.491206754645041
Cc1ccc(/N=N/c2c(O)ccc3ccccc23)c(C)c1	0.01	0.56	-0.54	-0.43	-0.05	0.44	-0.61	-0.16	0.95	0.95	0.55	0.66	1.06	-0.16	-0.32	2.6426128870881476	2.624766197768311
Cc1ccc2cccc(C)c2c1	-0.75	0.11	-0.75	-1.21	-0.22	1.02	-0.38	0.28	0.09	0.28	0.22	-0.19	-0.94	-0.16	-0.32	2.4137187650610787	2.4356961360106477
O=c1[nH]ncc2ccccc12	0.01	0.9	-0.29	-0.1	0.12	0.24	-0.98	-0.85	-0.09	0.15	0.74	-0.61	1.06	5.43	-0.32	2.663842212973794	2.6613715203226658
CCCCCCCCCCCCCCCCCCCCCCCCCCCC	-0.75	-1.54	0.21	-1.28	-0.38	1.02	1.81	2.31	0.64	0.65	-3.72	3.74	-0.94	-0.16	-0.32	2.5284667540562014	2.525083124681712
CC(C)COC(=O)Nc1ccc2nn(C3CCCC3)nc2c1	0.01	0.12	0.23	-0.3	-0.1	-0.05	0.26	-0.5	1.0	1.03	0.19	-0.01	1.06	-0.16	-0.32	2.595661530898903	2.5972177525965323
Cc1cccc(N)n1	0.77	-0.36	0.25	-0.17	0.0	-0.34	-0.24	1.14	-0.78	-1.38	0.6	-1.03	1.06	-0.16	-0.32	2.497137064051958	2.5435412437908758
O=C1C=CC(=Nc2ccc(O)cc2)C=C1	0.01	0.64	-0.65	0.22	-0.08	-0.24	-0.83	-0.23	0.32	0.7	0.83	0.04	1.06	-0.16	-0.32	2.6366383187350237	2.612402317341472
O=[N+]([O-])c1cccc2c(Cl)cccc12	-0.75	1.26	-0.7	-0.49	-0.11	1.02	-1.17	-1.91	0.32	0.48	1.19	-0.06	1.06	-0.16	-0.32	2.5845008375241108	2.5805156882820053
O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl	0.01	1.96	-0.99	1.07	-0.51	-1.31	-2.22	0.26	0.17	0.28	1.11	1.01	-0.94	-0.16	2.52	2.669920938681443	2.663937099887195
CCOC(=O)c1cccc(Cl)c1O	0.01	0.19	-0.32	1.07	-0.29	-1.02	-0.52	-0.07	0.0	0.28	0.86	-0.65	-0.94	-0.16	-0.32	2.468568852723465	2.545596680345588
CC(=O)c1ccc(O)cc1O	0.77	0.22	-0.31	1.59	-0.24	-1.31	-0.64	0.24	-0.18	0.03	0.75	-0.67	-0.94	-0.16	-0.32	2.622369470494735	2.593143970035792
Cc1ccccc1/N=N\c1ccc(N)cc1C	0.77	0.13	-0.17	-0.69	0.02	0.54	-0.41	-0.02	0.52	0.46	0.13	0.18	1.06	-0.16	-0.32	2.574204950786184	2.588738923500288
CCOc1c(N2CCOCC2)cnn(C)c1=O	-0.75	-0.05	0.45	0.35	-0.19	0.34	0.77	-0.14	0.52	0.54	0.06	-0.51	1.06	-0.16	-0.32	2.560086048497414	2.5654301522386045
COc1cc2ccc(=O)oc2cc1OC	-0.75	0.61	-0.41	1.2	-0.23	-0.63	-0.2	-0.03	0.39	0.64	0.16	-0.19	-0.94	-0.16	-0.32	2.6218510955443124	2.6025797665112695
O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]	0.01	1.4	0.25	1.98	-0.05	-0.34	-1.07	-1.03	0.32	0.32	0.99	-0.17	1.06	-0.16	2.52	2.6581545470672103	2.657608812429925
OC1CC(O)C(O)C(O)C1O	3.06	-0.19	0.58	1.66	-0.53	-1.21	0.16	1.07	-0.09	-0.47	-0.77	0.15	-0.94	-0.16	-0.32	2.7068457481036043	2.6901056719512693
OC(CCl)C(O)CCl	0.77	-0.88	0.44	0.55	-0.61	-0.34	-0.33	0.44	-1.11	-1.05	-0.86	-0.36	-0.94	-0.16	-0.32	2.6016798173058957	2.601570010836321
O=C(CO)C(O)C(O)C(O)C(O)CO	3.82	-0.51	0.64	1.92	-0.56	-1.31	0.31	1.08	0.0	-0.06	0.89	0.19	-0.94	-0.16	-0.32	2.6275194713376826	2.6294490569750044
O=C(O)Cc1cccc(F)c1	0.01	0.23	0.19	0.74	0.99	-1.02	-0.55	-0.54	-0.29	0.06	1.16	-0.69	-0.94	-0.16	2.52	2.499893186149237	2.5307837521430816
OCc1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1	1.54	0.44	-0.68	0.29	-0.21	-0.14	-0.76	0.53	1.04	1.07	0.19	1.31	-0.94	-0.16	-0.32	2.6763734852094534	2.665578205618137
CCCCC(CC)COC(C)=O	-0.75	-1.32	0.29	-0.49	-0.41	0.24	1.69	-0.4	-0.51	-0.41	-0.17	-0.63	-0.94	-0.16	-0.32	2.285894712480839	2.2991415165106166
COC1=C(OC)C(=O)C(C)=C(C)C1=O	-0.75	0.1	-0.11	0.87	-0.28	0.15	0.34	-0.35	0.25	-0.01	-1.26	-0.32	-0.94	-0.16	-0.32	2.5258866515209393	2.5277387405545784
C=C(C)C(=O)CC	-0.75	-1.24	0.06	-0.82	-0.33	0.63	1.09	-1.06	-1.3	-2.0	-0.03	-1.27	-0.94	-0.16	-0.32	2.3088844144220166	2.3052883282855015
O=C1/C(=C\c2ccc(O)c(O)c2)Oc2cc(O)ccc21	1.54	1.31	-0.75	1.98	-0.21	-1.41	-1.22	0.38	0.95	1.0	0.73	0.81	-0.94	-0.16	-0.32	2.7605355662208573	2.766725854734858
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C	0.01	1.13	0.02	0.22	0.09	-0.53	-0.39	-0.43	0.95	1.01	0.32	-0.39	1.06	5.43	-0.32	2.773164534737837	2.762834755317483
O=S(=O)(O)c1ccc(-c2ccc(S(=O)(=O)O)cc2)cc1	0.77	1.21	-0.68	0.09	-0.01	-0.53	-0.68	-0.94	0.95	0.84	-0.29	1.23	-0.94	-0.16	-0.32	2.538636561218452	2.6345280578966
N#Cc1ccncc1	-0.75	0.23	-0.34	-0.56	0.28	0.73	-0.72	-0.6	-0.93	-0.65	1.35	-1.09	1.06	-0.16	-0.32	2.54672769272835	2.5276422459677446
c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1	-0.75	0.32	-0.59	-0.82	-0.16	0.92	-0.29	0.14	1.21	1.1	-0.94	1.78	1.06	-0.16	-0.32	2.651423400759052	2.633113628914338
CCCC(C)=O	-0.75	-1.59	0.29	-0.82	-0.41	0.73	1.65	-1.06	-1.77	-2.0	-0.15	-1.36	-0.94	-0.16	-0.32	2.2928096654172903	2.301930194322185
C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O	0.77	-0.09	0.27	0.16	-0.2	-0.73	0.39	-0.59	0.45	0.7	0.31	-0.33	1.06	-0.16	-0.32	2.5612803142902894	2.5852773848155794
CC(=O)c1cc(C)ccc1O	0.01	-0.07	-0.35	0.22	-0.24	-0.14	-0.22	-0.26	-0.18	-0.11	0.62	-0.79	-0.94	-0.16	-0.32	2.5094041602586916	2.5264945104697243
O=C(O)c1cc(I)c(I)c(I)c1	0.01	1.49	-2.0	0.87	0.0	-1.41	-2.15	-0.0	0.0	0.12	1.35	3.18	-0.94	-0.16	2.52	2.7525477914613012	2.7542325525413967
ClCc1cccc(CCl)c1	-0.75	-0.16	-0.62	-1.08	-0.34	1.02	-0.78	-1.19	-0.51	-0.61	0.21	-0.13	-0.94	-0.16	-0.32	2.4876332174568763	2.487068940050069
CC1=NNC(=O)C1	0.01	-0.11	0.7	0.09	-0.09	0.15	0.1	-0.76	-0.93	-1.61	0.36	-1.23	1.06	-0.16	-0.32	2.6938587997009296	2.6064038261292914
CCCCCCCCCCCCCCCCCC(=O)OC(C)C	-0.75	-1.37	0.23	-0.89	-0.39	0.63	1.68	-0.28	0.45	0.68	-2.07	1.66	-0.94	-0.16	-0.32	2.4787828675065993	2.476743350813213
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1	0.01	-0.37	-0.04	-0.89	-0.24	0.83	0.52	0.54	0.9	0.75	-0.1	0.78	1.06	-0.16	-0.32	2.555275870769318	2.567087446944233
C#CC(C)OC(=O)Nc1cccc(Cl)c1	0.01	0.16	-0.38	0.29	-0.16	-1.11	-0.56	-0.26	0.17	0.56	1.06	-0.5	1.06	-0.16	-0.32	2.5033139228158845	2.557392357895706
O=C1C=CC(=O)c2c(O)ccc(O)c21	0.77	1.4	-0.74	1.85	-0.21	-1.21	-1.35	-0.01	0.39	0.59	-0.29	-0.1	-0.94	-0.16	-0.32	2.703420357325243	2.716808107911964
FC(F)(F)c1cccc(Br)c1	-0.75	1.21	1.4	-0.1	3.96	-0.24	-1.09	-0.88	-0.09	-0.0	0.77	0.14	-0.94	-0.16	-0.32	2.4379882502194996	2.426191467207981
Clc1cc(Cl)c(Cl)c(Cl)c1Cl	-0.75	2.22	-1.42	-1.02	-0.74	0.92	-2.0	-0.31	-0.09	-0.47	0.56	1.37	-0.94	-0.16	-0.32	2.555275870769318	2.5566988678773575
Cc1ccnc(-c2cc(C)ccn2)c1	-0.75	0.21	-0.35	-0.82	-0.0	0.83	-0.27	-0.2	0.25	0.28	-0.71	-0.26	1.06	-0.16	-0.32	2.651423400759052	2.574400140254375
CCCC(=O)n1ncc2c(O)ncnc21	0.01	0.61	0.43	0.61	0.05	-0.63	-0.14	-0.09	0.39	0.41	0.82	-0.78	1.06	-0.16	-0.32	2.69605043980775	2.6953700608434454
Fc1c(F)c(F)c(Br)c(F)c1F	-0.75	2.8	3.59	0.81	7.52	0.92	-1.45	0.09	0.09	-0.47	0.56	0.76	-0.94	-0.16	-0.32	2.384084473382558	2.3820987582536897
Nc1nccnn1	0.77	0.12	1.41	0.74	0.14	-1.41	-0.66	0.7	-1.11	-1.44	0.97	-1.03	1.06	-0.16	-0.32	2.6519076720869994	2.6533946096886196
O=C(O)CCCCl	0.01	-1.11	0.32	1.0	-0.5	-1.6	0.15	-0.15	-1.52	-2.0	0.55	-1.07	-0.94	-0.16	2.52	2.461123196639613	2.4541301233223565
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1	-0.75	0.62	-0.79	0.48	-0.15	-1.5	-0.4	0.58	1.0	1.11	-1.19	1.83	-0.94	-0.16	-0.32	2.5100756113539493	2.5085122160943705
N=C(N)NCCCC(N)C(=O)O	4.58	-0.87	1.13	1.46	-0.34	-2.38	0.42	0.98	-0.4	-0.11	0.77	-0.9	1.06	-0.16	2.52	2.69121414838279	2.688833738554021
CC1CC2CC3CCCCN3CC2C2CC34OC5(O)C(O)CCC3C5CC(O)C4C12O	2.3	0.58	0.08	-0.3	-0.29	0.34	0.27	0.37	1.98	1.72	0.84	1.7	1.06	-0.16	-0.32	2.692979037459632	2.6963103401919866
OCCOCCOCCOCCO	0.77	-1.32	0.59	0.61	-0.54	0.05	1.74	0.67	-0.64	0.02	-1.96	0.36	-0.94	-0.16	-0.32	2.4264299251939274	2.447055027528176
C=C1CCCCC1	-0.75	-1.11	-0.03	-1.21	-0.31	1.02	0.92	1.49	-1.11	-1.44	-0.76	-1.01	-0.94	-0.16	-0.32	2.221283799492686	2.240449122483189
C=C(C)CC(C)(C)C	-0.75	-1.29	0.17	-1.21	-0.37	1.02	1.68	2.19	-0.78	-2.0	-1.36	-1.04	-0.94	-0.16	-0.32	2.254427221540668	2.2505501264162535
CCN(O)CC	0.01	-1.66	0.86	-0.56	-0.49	0.83	2.27	-0.2	-1.77	-2.28	-1.46	-1.17	1.06	-0.16	-0.32	2.452016565962548	2.450236775089993
O=C(O)CCCC(=O)O	0.77	-0.75	0.4	2.37	-0.44	-3.25	0.39	0.23	-0.93	-1.29	-0.69	-0.69	-0.94	-0.16	5.36	2.5693153754169784	2.5761171718772826
Cn1nc2ccc(NC(=O)c3ccc([N+](=O)[O-])cc3)cc2n1	0.01	1.19	0.05	-0.1	0.15	0.44	-0.7	-1.4	1.04	1.11	1.06	0.29	1.06	-0.16	-0.32	2.7428429167274433	2.7069621529170345
O=C(O)CCCCC(=O)O	0.77	-0.85	0.36	1.79	-0.43	-2.57	0.59	0.11	-0.78	-0.76	-0.95	-0.59	-0.94	-0.16	5.36	2.629766267319319	2.626747088727727
Cc1cc2ncn(C3OC(CO)C(O)C3O)c2cc1C	1.54	0.51	0.11	0.42	-0.18	-0.14	-0.1	0.59	1.0	0.95	0.58	-0.15	1.06	-0.16	-0.32	2.6736198387747407	2.676524223096557
CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1	-0.75	-0.25	-0.16	-0.76	-0.13	0.92	0.31	0.76	0.69	0.93	-1.07	0.66	1.06	-0.16	-0.32	2.561876217899017	2.570757147440172
O=Cc1ccc(O)cc1	0.01	0.09	-0.56	0.87	-0.22	-0.53	-0.74	-0.19	-0.64	-0.52	1.35	-0.79	-0.94	-0.16	-0.32	2.591231611251554	2.587094186429457
CCCCCCCCCC(Br)C(=O)O	0.01	-1.21	0.15	-0.36	-0.39	0.05	0.76	-0.3	-0.29	0.12	-1.01	0.26	-0.94	-0.16	2.52	2.452016565962548	2.4960697566922203
Cc1cc(O)c(C(C)C)cc1Cl	0.01	-0.23	-0.26	-0.3	-0.3	0.15	-0.16	-0.11	0.0	0.2	-0.01	-0.69	-0.94	-0.16	-0.32	2.5265331155907425	2.5322711719112947
O=C1OC(=O)C2C3C=CC(C3)C12	-0.75	1.4	-0.47	0.35	-0.22	-0.53	-0.54	-0.8	0.39	0.28	0.04	-0.38	-0.94	-0.16	-0.32	2.6411269328035094	2.6283796272793913
CCN(CC)C(=O)COC(=O)c1ccccc1OC(C)=O	-0.75	-0.18	0.01	0.48	-0.24	-0.53	0.49	-0.4	0.69	0.75	0.14	-0.02	1.06	-0.16	-0.32	2.543633532576258	2.5409617200524055
C=CCN(CC=C)C(=O)C(Cl)Cl	-0.75	-0.62	0.06	-0.3	-0.29	0.24	0.03	-0.77	-0.4	-0.11	-0.42	-0.33	1.06	-0.16	-0.32	2.445059047392219	2.4775962418883304
O/N=C/c1ccc(F)cc1	0.01	0.17	0.46	0.22	1.27	0.24	-0.72	-0.8	-0.51	-0.11	1.35	-0.71	1.06	-0.16	-0.32	2.552242228356702	2.5505517096382766
C=C(C)C(=O)/C(=C/C(=O)O)OC	0.01	-0.39	0.01	1.46	-0.31	-1.21	0.32	-0.05	-0.29	-0.36	0.52	-0.87	-0.94	-0.16	2.52	2.551632948680588	2.5548043387748605
CN/C(=N/CCSCc1[nH]cnc1C)NC#N	1.54	-0.39	0.57	0.03	0.15	-0.43	0.11	0.89	0.25	0.22	0.69	-0.7	1.06	5.43	-0.32	2.6182050422592695	2.6198272759192514
CC12CCC(C(O)C1=O)C2(C)C	0.01	0.2	0.04	-0.49	-0.33	0.54	0.5	-0.36	0.45	0.28	-0.03	-0.74	-0.94	-0.16	-0.32	2.6800180632491917	2.6482239215611387
CC(C)(S)C(=O)O	0.77	-0.66	0.05	1.0	-0.12	-1.7	0.54	0.02	-0.93	-2.0	-0.77	-1.02	-0.94	-0.16	2.52	2.505353506160186	2.5068681358031624
CC1CCCC(C)(C)C1=O	-0.75	-0.65	0.1	-1.02	-0.35	0.83	1.09	-1.03	-0.18	-0.62	-0.29	-0.76	-0.94	-0.16	-0.32	2.3826473031547106	2.3857685751015087
Cc1cccc2cc3ccccc3cc12	-0.75	0.67	-1.06	-1.15	-0.23	1.02	-0.78	-0.09	0.52	0.48	0.27	0.45	-0.94	-0.16	-0.32	2.554670835171456	2.551240502318567
CCCCCCBr	-0.75	-1.76	0.14	-1.21	-0.41	1.02	0.83	-0.63	-1.77	-1.47	-0.19	-0.64	-0.94	-0.16	-0.32	2.275196141785624	2.2749924358742444
C[Si](C)(Cl)O[Si](C)(C)Cl	-0.75	-0.61	-0.27	-0.17	1.29	-0.73	0.6	2.92	-0.4	-2.0	-2.87	0.0	-0.94	-0.16	-0.32	2.3722674440956544	2.3685696365472024
O=C(O)Cc1ccc(F)cc1	0.01	0.23	0.19	0.74	0.99	-1.02	-0.55	-0.54	-0.29	-0.11	1.16	-0.69	-0.94	-0.16	2.52	2.555275870769318	2.5444485264424297
CCOC=O	-0.75	-1.67	0.51	1.14	-0.5	-0.92	1.75	-0.24	-2.47	-2.58	0.09	-1.37	-0.94	-0.16	-0.32	2.286793175654974	2.284662155129273
CCCCCCCCCCCCCCCCCCCC(=O)O	0.01	-1.41	0.23	-0.76	-0.39	0.44	1.58	-0.09	0.32	0.6	-2.6	1.89	-0.94	-0.16	2.52	2.5422650870725256	2.542696036934187
C=CCNC(N)=S	1.54	-1.22	0.38	0.42	0.18	-1.21	-0.3	2.06	-1.52	-2.0	0.63	-1.14	1.06	-0.16	-0.32	2.5454926727523057	2.5455338391636926
[N-]=[N+]=Nc1ccccc1	-0.75	0.09	0.18	-1.15	0.31	0.92	-0.6	-2.04	-0.78	-0.11	0.72	-0.68	1.06	-0.16	-0.32	2.3903167684708406	2.393456726132062
CCCCCCCCCCCCCCCCCCCCCCCCCCCCC	-0.75	-1.54	0.21	-1.28	-0.38	1.02	1.8	2.3	0.69	0.66	-3.76	3.96	-0.94	-0.16	-0.32	2.527436551688697	2.5261267814189514
Cc1ncc([N+](=O)[O-])n1C	-0.75	0.33	0.83	0.74	-0.09	0.34	0.48	-1.46	-0.29	-0.03	0.38	-1.04	1.06	-0.16	-0.32	2.6145281197475394	2.612288975467699
O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1	-0.75	1.1	0.43	1.72	-0.04	-1.31	-0.12	-0.6	0.45	0.32	1.08	-0.69	1.06	-0.16	-0.32	2.7227572841258656	2.692353874649903
CC(C(C)(C)C)C(C)(C)C	-0.75	-1.15	0.28	-1.28	-0.41	1.02	2.03	2.52	-0.18	-2.0	-2.96	-0.33	-0.94	-0.16	-0.32	2.370050237074868	2.363029616697724
CCCCOC(=O)CCC(=O)OCCCC	-0.75	-1.11	0.27	0.09	-0.4	-0.24	1.44	-0.39	-0.09	0.43	-0.9	-0.11	-0.94	-0.16	-0.32	2.3873008224482852	2.3927023719941043
O=C(O)/C=C/C(=O)O	0.77	-0.24	0.18	4.0	-0.36	-5.48	-0.72	0.75	-1.11	-2.0	-0.63	-0.68	-0.94	-0.16	5.36	2.6060049568194357	2.609937125470447
CCC(C)(CC)C(C)(C)C	-0.75	-1.23	0.28	-1.28	-0.41	1.02	2.03	2.52	-0.29	-0.94	-1.99	-0.43	-0.94	-0.16	-0.32	2.3629534589442853	2.3536251369568415
O=[N+]([O-])c1cccc(O)c1	0.01	0.56	-0.02	1.27	-0.09	-0.24	-0.85	-1.04	-0.4	-0.11	1.35	-0.69	1.06	-0.16	-0.32	2.568143031657702	2.572948813738467
CCOP(=S)(OCC)Oc1cnc2ccccc2n1	-0.75	0.28	-0.22	0.09	0.08	-0.63	-0.04	0.91	0.69	0.48	-0.19	0.07	1.06	-0.16	-0.32	2.4838011824604878	2.481408060068459
CCCCCCCCCCCCC	-0.75	-1.68	0.26	-1.28	-0.4	1.02	1.95	2.45	-0.64	0.02	-2.66	0.48	-0.94	-0.16	-0.32	2.427891650708878	2.4312992263231705
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1	0.77	0.86	-0.32	1.0	0.05	-1.11	-0.62	-0.24	1.29	1.06	1.02	0.06	1.06	-0.16	2.52	2.636888906983799	2.6587678307286384
CC(CC(N)=O)n1nc2ccccc2n1	0.77	0.36	0.34	-0.23	0.05	0.24	-0.28	-0.64	0.39	0.4	0.31	-0.44	1.06	-0.16	-0.32	2.62905263772839	2.6271247952743604
BrCCCCCCBr	-0.75	-1.55	-0.08	-1.21	-0.4	1.02	-0.02	-1.0	-1.52	-1.05	-1.27	0.31	-0.94	-0.16	-0.32	2.4327288399232216	2.431977145201294
NNc1cc(Cl)ccc1Cl	1.54	0.35	0.05	-0.17	-0.08	0.54	-1.62	-0.22	-0.4	-0.54	0.91	-0.28	1.06	-0.16	-0.32	2.5747833931757764	2.575732099001009
Cc1ccc([N+](=O)[O-])c2ccccc12	-0.75	0.73	-0.52	-0.62	-0.09	1.02	-0.66	-2.12	0.32	0.31	0.62	-0.22	1.06	-0.16	-0.32	2.5373782828302054	2.547770051560071
CCOC(=O)CCCC(=O)OCC	-0.75	-1.02	0.3	0.48	-0.41	-0.63	1.38	-0.33	-0.4	-0.06	-0.94	-0.46	-0.94	-0.16	-0.32	2.396286546068402	2.390798260432285
COc1ccc(I)cc1	-0.75	-0.09	-0.86	-0.1	-0.05	0.44	-1.04	0.09	-0.64	-0.52	0.82	-0.17	-0.94	-0.16	-0.32	2.5134173828585062	2.5044445509014555
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21	1.54	0.14	-0.23	-0.62	-0.13	0.44	-0.19	-0.04	1.13	1.06	0.0	0.47	1.06	-0.16	-0.32	2.565434570307759	2.6258731704202183
O=[N+]([O-])c1cc(F)ccc1F	-0.75	1.3	1.44	0.48	2.8	1.02	-0.75	-1.17	-0.18	-0.11	1.08	-0.46	1.06	-0.16	-0.32	2.4173886461656746	2.4302938337108
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1	0.01	0.76	-0.35	0.29	-0.01	0.92	-0.71	-1.0	0.95	0.9	0.89	0.34	1.06	-0.16	-0.32	2.707016310494369	2.6689892394790755
Cc1ccc(S(=O)O)cc1	0.01	-0.01	-0.54	-0.36	-0.05	0.15	-0.44	-0.8	-0.4	-0.11	0.9	-0.64	-0.94	-0.16	-0.32	2.555880064636805	2.5435425241902148
CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O	0.01	0.05	-0.04	-0.89	-0.31	0.73	0.57	-0.33	1.33	1.18	0.11	0.53	-0.94	-0.16	-0.32	2.6275194713376826	2.642461435059571
CC1=CCCCC1	-0.75	-1.11	-0.03	-1.21	-0.31	1.02	0.92	1.49	-1.11	-1.44	-0.13	-1.15	-0.94	-0.16	-0.32	2.183981218914592	2.191753654436538
Nc1ccc2ccccc2n1	0.77	0.51	-0.34	-0.3	0.08	-0.05	-0.94	0.97	-0.09	0.27	0.99	-0.46	1.06	-0.16	-0.32	2.607079544728571	2.607676992647442
O=[N+]([O-])c1ccc(O)c(O)c1	0.77	0.78	0.11	2.57	-0.14	-1.5	-1.12	-0.32	-0.18	0.11	0.91	-0.56	1.06	-0.16	-0.32	2.651423400759052	2.637292699200012
CC(C)OC(=O)COc1ccc(Cl)cc1Cl	-0.75	0.09	-0.27	0.42	-0.33	-0.24	-0.29	-0.35	0.32	0.69	0.32	-0.03	-0.94	-0.16	-0.32	2.444279064276847	2.4891993306292752
O=C(O)Cc1cccc(Br)c1	0.01	0.23	-0.68	0.55	-0.27	-0.82	-1.06	-0.25	-0.29	0.06	1.16	-0.35	-0.94	-0.16	2.52	2.5730457495590535	2.579427791302559
O=S(=O)(Cc1ccccc1)c1ccccc1	-0.75	0.4	-0.82	-0.82	-0.11	0.83	-0.48	-1.7	0.45	0.31	0.21	0.54	-0.94	-0.16	-0.32	2.622369470494735	2.610076176413245
CC12CC[C@@H]3c4ccc(O)cc4CCC3[C@@H]1CCC2=O	0.01	0.46	-0.36	-0.56	-0.24	0.44	-0.12	-0.42	1.13	0.91	0.53	-0.09	-0.94	-0.16	-0.32	2.7270122994267685	2.680876811368692
NNC(=S)Nc1ccccc1	2.3	-0.22	0.08	0.09	0.29	-0.24	-1.04	1.29	-0.4	-0.11	0.8	-0.46	1.06	-0.16	-0.32	2.6150553041797213	2.6210305665600258
CC(=O)CBr	-0.75	-1.27	-0.07	-0.49	-0.4	0.63	-0.3	-1.04	-2.08	-2.45	-0.09	-0.86	-0.94	-0.16	-0.32	2.3741065088040125	2.375663282853511
