SMILES	SLogP	SLogP_VSA2	ATSC3c	ATSC2c	ATSC4c	SdssC	ATSC1dv	Jhetv	ATSC1p	SLogP_VSA3	observed	predicted
CCCCCO	-0.27539	-0.23976	-0.00597	-0.2002	0.09509	0.08126	-0.89384	-0.35093	-0.27443	-0.78687	-2.22	-2.2927623188405803
CCCCCCCCO	0.60489	-0.23976	-0.004	-0.23991	0.08859	0.08126	-0.89803	0.23966	-0.23169	-0.78687	-1.13	-1.401671177368868
CCOC=O	-1.01975	-0.16092	-0.10249	-0.04291	0.14975	0.08126	-0.23504	-1.10084	-1.25532	0.85306	-3.01	-3.0000614511092754
C=C(C)C(=O)OC	-0.60138	-0.16092	0.93336	0.10228	-0.96798	0.23409	0.46154	1.22666	-1.11501	0.85306	-2.35	-2.529942028985508
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl	2.12799	-0.27657	-0.1938	0.89772	-1.02646	-1.50572	-0.24265	-0.60014	0.94959	1.1428	-1.74	-1.7650306763285033
O=[N+]([O-])c1cccc(O)c1	-0.17648	-0.33695	-0.96565	0.05557	-0.10625	0.08126	-0.57048	0.27806	0.92323	-0.78687	-2.25	-2.2577589026915104
CCN	-1.18094	-0.53815	-0.14384	0.00084	0.18006	0.08126	-0.88774	-1.89042	-0.31236	-0.78687	-3.09	-3.0408030368182515
Nc1ccc(Cl)c(N)c1	-0.02303	-0.91598	-0.27995	0.50109	0.8052	0.08126	-0.53578	1.145	1.42678	-0.78687	-2.68	-2.490150362318843
CCCO	-0.86224	-0.23976	0.0498	-0.1655	-0.03923	0.08126	-0.88779	-1.2062	-0.33967	-0.78687	-2.91	-2.919923756195498
CC(Cl)CCl	0.2388	-0.2661	-0.07839	-0.07575	0.06596	0.08126	-0.82331	0.39052	-0.2056	-0.78687	-2.0	-1.9242727324839357
CC(C)Nc1ccccc1	0.73103	-0.56718	-0.54156	0.26076	0.20207	0.08126	0.07404	-0.28153	-0.08497	-0.78687	-1.75	-1.7493155452035885
O=C(CCl)c1ccccc1	0.43106	-0.24265	0.02214	-0.4749	0.16436	0.03544	-0.26265	0.78423	0.03465	-0.78687	-2.29	-1.980397600511616
CCCCCCCC(=O)O	0.67432	-0.27657	-0.55095	1.10305	0.13151	-1.11415	-0.05811	0.66411	-0.18759	0.03806	-1.55	-1.651914815257207
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12	1.62538	0.42798	0.44117	-0.61814	-0.29659	3.26176	1.48382	-1.52992	1.71574	0.86299	-3.35	-3.2683318840579743
O=C1CCCCC1	-0.0116	-0.58211	-0.11113	-0.04469	0.07891	0.90945	-0.31092	-0.4239	0.03465	0.03806	-2.74	-2.398154503105592
CN1CCN(C(c2ccccc2)c2ccccc2)CC1	1.11954	1.56797	0.21727	-1.17431	0.37336	0.08126	0.42827	-1.32879	-0.72047	-0.78687	-2.52	-2.812771739130434
CO	-1.44909	-0.21072	0.09165	-0.29952	0.08079	0.08126	-1.00808	-3.04147	-0.5435	-0.78687	-3.3	-3.3001739130434826
Clc1ccccc1Cl	1.09697	-0.91598	0.02958	-0.13986	0.07581	0.08126	-0.76328	1.5015	0.03465	-0.78687	-1.18	-1.152056726403524
C[C@]12C[C@@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO	0.18547	1.69333	1.08693	-1.09672	0.12339	1.60334	1.556	-1.39299	2.53023	0.86299	-4.29	-4.374304347826092
c1ccc(C(OC(c2ccccc2)C2CO2)C2CO2)cc1	1.31495	0.55163	1.22939	-1.87598	-0.2561	0.08126	-0.002	-1.97682	-0.5906	1.65815	-2.84	-2.9303913043478222
Oc1cccc(Br)c1	0.46611	-0.62118	-0.44033	0.33725	0.43757	0.08126	-0.84392	1.15555	0.69772	-0.78687	-1.35	-1.4440876997398722
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@H]2C(=O)CO	0.75202	1.40243	1.37882	-1.29909	0.42574	0.89226	1.71089	-1.32183	2.09983	0.86299	-4.69	-4.542434782608697
CN1CCCC1c1cccnc1	0.23565	0.43932	-0.16929	-0.59641	0.43735	0.08126	0.23643	-0.80456	-0.73025	-0.78687	-2.1	-2.499911697722568
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	1.79945	0.73858	-0.75265	1.34206	-0.69505	-2.04208	1.71848	-0.79208	-0.01959	1.1428	-1.83	-2.168380434782611
ClCC(Cl)CCl	0.40346	0.07335	-0.07565	-0.20225	0.08777	0.08126	-0.8756	0.83116	-0.08217	-0.78687	-2.01	-1.899598328506269
Cc1ccc(N)cc1	0.03174	-0.91598	-0.33257	0.37423	-0.10139	0.08126	-0.2412	0.97965	0.6162	-0.78687	-2.39	-2.2445521739130405
Clc1ccccc1	0.60549	-0.91598	-0.10595	-0.05783	0.08067	0.08126	-0.8038	1.23168	0.03465	-0.78687	-1.39	-1.3441443392524517
CNC(C)C(O)c1ccccc1	-0.15579	0.13449	0.79283	-0.6102	-0.44273	0.08126	-0.14199	0.2389	0.28652	-0.78687	-2.22	-2.221127536231883
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O	0.95925	1.30647	-1.34009	-3.65021	5.16443	-0.43174	3.26265	-0.79013	-1.45316	0.85306	-2.89	-2.7957391304347787
CCOC(=O)c1ccccc1C(=O)OCC	0.37984	0.53608	0.17312	0.61681	-1.87646	-1.73241	1.76036	0.42191	-1.14439	0.84314	-2.32	-2.546380434782606
CC12CCC(CC1=O)C2(C)C	0.6519	-0.58211	0.03309	-0.10339	-0.00493	0.9962	0.8918	0.04378	0.49141	0.03806	-1.99	-1.9818209008763954
Cc1ccc([N+](=O)[O-])cc1	0.27696	-0.63176	-0.1619	-0.43148	0.00932	0.08126	0.26826	0.3146	0.45801	-0.78687	-1.87	-1.8100266151173592
CC(Cl)Cl	0.20684	-0.63678	-0.14875	0.0858	0.08079	0.08126	-0.87812	0.04899	-0.12814	-0.78687	-2.05	-1.9669959733734825
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O	-0.21499	0.11425	-3.92314	3.51721	3.40531	-1.40902	1.69529	-0.36579	0.19262	0.86299	-3.09	-2.8198369282891003
CCCC(=O)O	-0.49939	-0.27657	-0.52861	1.14785	0.33112	-1.18684	-0.09827	0.37208	-0.22196	0.03806	-2.71	-2.7532386802810707
Nc1ccccc1N	-0.51451	-0.91598	1.00789	0.32125	-1.70953	0.08126	-0.52945	0.95386	1.17596	-0.78687	-3.29	-3.050368530020708
CCCCOP(=O)(O)OCCCC	0.89147	0.12936	-1.14237	3.50906	-0.41256	0.08126	-1.5459	1.10848	-4.89894	1.55525	-2.38	-2.1837608695652153
CC(=O)CC(C)(C)O	-0.60071	0.03605	-1.34325	0.46769	1.62765	0.1267	0.20262	1.82532	-0.19957	0.03806	-3.07	-2.959857848914366
CCN/C(CC)=N/N=C(\CC)NCC	0.15223	0.51347	0.30843	0.48338	-0.95516	3.43981	1.61537	1.66286	-1.48011	-0.78687	-3.89	-3.4605065217391235
Cc1cc(O)cc(C)c1Cl	0.84803	-0.62118	-0.27599	0.36448	0.26207	0.08126	0.30985	1.56329	0.54872	-0.78687	-1.23	-1.2604357169400653
Nc1ccccc1	-0.20024	-0.91598	-0.25361	0.30728	-0.01653	0.08126	-0.6955	0.90222	0.6458	-0.78687	-2.65	-2.5213737577639757
CC1CCCCC1	0.79098	-0.91598	-0.15673	-0.04701	0.05998	0.08126	-0.68899	-0.57504	0.03465	-0.78687	-0.76	-0.9756689189211516
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1	1.95694	1.19022	-0.71713	0.15947	0.47962	0.49256	1.38718	-2.01511	-0.72117	1.1428	-2.25	-2.399730434782609
O=C(O)c1ccccc1O	-0.33443	0.01824	-1.29585	0.94488	2.97045	-1.90458	-0.73458	0.97692	0.97211	-0.78687	-2.2	-2.368586956521736
O=[N+]([O-])c1cccc([N+](=O)[O-])c1	-0.02408	-0.34753	-0.09442	-0.05243	-1.73667	0.08126	-0.23316	0.17684	0.90703	-0.78687	-2.69	-2.5759475155279485
N#Cc1ccc(O)cc1	-0.20395	-0.62118	0.00718	0.25532	-0.31275	0.08126	-0.68899	0.97339	0.58208	-0.78687	-1.98	-2.110668059476752
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O	1.71677	-0.28731	0.00365	0.1735	-0.23676	0.99405	1.14365	-1.37547	1.59638	1.1428	-2.44	-2.363965217391302
CCCCC(C)=O	0.17344	-0.58211	-0.2759	0.06193	0.10509	0.62956	-0.15171	0.67029	-0.50207	0.03806	-2.35	-2.2327963550179777
Oc1c(Cl)cc(Cl)cc1Cl	1.367	-0.62118	0.53805	-0.20559	-0.61823	0.08126	-0.88185	1.64314	0.8652	-0.78687	-1.14	-1.2027502282741411
CC(=O)OCCC(C)C	0.04557	-0.18995	-0.54216	0.63253	0.33651	-0.24812	0.4954	0.30848	-1.20567	0.85306	-1.91	-1.9219039572746082
Cn1c(=O)c2c(ncn2C)n(C)c1=O	-1.92884	0.16273	0.0135	1.26463	0.13532	0.08126	2.16283	0.34787	-2.2834	2.85091	-3.96	-3.7593869565217353
OCCCCc1ccccc1	0.35095	-0.23976	-0.05981	-0.26365	0.0189	0.08126	-0.63247	-0.35519	0.44526	0.31787	-1.18	-1.3557986915639684
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O	-0.62779	0.11425	-4.09783	3.5332	3.4225	-3.31428	1.01527	-0.15065	0.26613	1.79467	-3.35	-3.1955317523056666
OCc1ccccc1	-0.26787	-0.62118	0.14605	-0.29816	-0.03797	0.08126	-0.89982	0.58052	0.48632	0.34988	-2.22	-2.2721543478260866
CCCCCC(C)O	0.31026	-0.26879	-0.26104	0.04258	0.18383	0.08126	-0.62347	0.42657	-0.24232	-0.78687	-1.48	-1.6665352284633734
Cc1ccc(Cl)cc1O	0.61604	-0.62118	-0.20189	0.3041	0.05322	0.08126	-0.21923	1.27071	0.5818	-0.78687	-1.26	-1.3315778590148728
CC(C)O	-0.86344	-0.26879	-0.41929	0.16876	0.30099	0.08126	-0.65987	-0.66485	-0.33967	-0.78687	-3.05	-3.005802410391542
NCCCC[C@H](N)C(=O)O	-1.51017	0.45007	1.33082	0.42141	-1.41112	-1.58418	-0.37497	1.16328	0.54826	0.03806	-3.31	-3.5068840579710145
C(CCCOCC1CO1)CCOCC1CO1	-0.11841	2.07731	0.90329	-2.08744	-0.15561	0.08126	0.06408	-2.60956	-2.1544	2.47315	-3.87	-3.8482528985507267
CCOCC	-0.37024	-0.15314	-0.2751	-0.27935	0.14814	0.08126	-0.45378	-1.26711	-1.31323	0.02814	-2.46	-2.553589269426227
CCc1ccc(O)cc1	0.3156	-0.62118	-0.20042	0.29559	-0.20506	0.08126	-0.07721	0.70702	0.46831	0.31787	-1.46	-1.5150987731249173
c1ccc(-c2ccccc2)cc1	1.36791	-0.91598	-0.10998	-0.17828	0.06438	0.08126	-0.47426	0.07027	0.27652	-0.78687	-0.84	-0.9805054151543865
COCCOC(C)=O	-1.00726	0.60192	0.30372	-0.29104	-0.43813	-0.38624	0.28965	-0.4028	-1.9561	1.66807	-3.6	-3.563470289855075
Cc1ccccc1Cl	0.83748	-0.91598	-0.03829	-0.05813	-0.01276	0.08126	-0.29326	1.43955	0.03465	-0.78687	-1.06	-1.0952002736775055
ClCCCl	-0.05342	-0.23707	-0.08029	-0.12809	0.08079	0.08126	-0.90344	-0.69545	-0.12814	-0.78687	-2.0	-1.9907102829537617
Nc1ccc(N)c([N+](=O)[O-])c1	-0.58356	-0.63176	-0.99559	-0.34711	1.17302	0.08126	-0.2129	0.56886	1.53261	-0.78687	-3.3	-3.076349802371546
C=CC(=O)OCCCC	-0.01453	-0.18995	0.32562	0.40546	-0.43738	-0.50785	0.36956	0.33256	-1.12804	0.85306	-2.0	-2.0464554238032497
Cc1ccccc1[N+](=O)[O-]	0.27696	-0.63176	-0.02217	-0.62044	0.47897	0.08126	0.31385	0.52125	0.45801	-0.78687	-1.92	-1.89853230471761
Nc1nc[nH]n1	-1.61578	-0.03955	-0.16023	1.27072	-0.82217	0.08126	-0.47019	-0.3134	-0.09535	-0.78687	-3.84	-3.63559732441471
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	0.62498	1.95449	1.29838	-1.79531	-0.81832	0.08126	1.24915	-1.10027	-1.77841	1.97989	-3.57	-3.5555869565217346
CC(=O)Oc1ccc(O)cc1	-0.16361	-0.27657	-0.9515	1.55431	-0.80519	-0.57024	0.31145	-0.22294	-0.08217	0.03806	-2.47	-2.428362318840581
CCCCCCC(=O)O	0.38089	-0.27657	-0.55128	1.11649	0.12916	-1.12306	-0.06349	0.61037	-0.1928	0.03806	-1.7	-1.7186359154575388
Cc1cc(C)cc(O)c1	0.35655	-0.62118	-0.4893	0.3256	0.82741	0.08126	0.1723	1.21767	0.46831	-0.78687	-1.48	-1.4819902187184788
CC1CO1	-0.84991	-0.18218	-0.1698	-0.20787	0.13359	0.08126	-0.36079	-0.97709	-0.66071	0.02814	-3.05	-3.0262806367545507
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC(O)[C@]4(C)[C@H]3CC[C@]12C	1.62417	0.39895	-0.60222	-0.07138	0.90777	3.01922	1.80291	-1.43218	1.71574	0.86299	-3.22	-3.1493913043478314
COCC(C)OCC(C)O	-0.83968	1.25689	1.03399	-1.32754	-0.38756	0.08126	-0.13956	0.23151	-1.72457	0.84314	-3.07	-3.2454420289855035
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3	1.39002	0.39258	-0.77191	0.78522	0.2046	-1.38252	2.17771	-0.62666	0.55682	4.02624	-2.13	-2.344434782608695
Oc1cccc(O)c1O	-0.55031	-0.03157	3.08126	-1.1296	-1.59695	0.08126	-0.95338	0.93829	1.332	-0.78687	-2.36	-2.587304347826093
CCCCOC(=O)c1cccnc1	0.37871	0.09778	-0.16856	-0.16542	0.91834	-0.43664	0.82228	-0.61485	-0.9527	0.02814	-1.78	-1.8264421328458413
O=[N+]([O-])c1ccc(Cl)cc1	0.53644	-0.63176	0.06947	-0.25285	-0.21702	0.08126	-0.47989	0.34123	0.63545	-0.78687	-1.98	-1.7751073020419699
CC(=O)O	-1.08624	-0.27657	-0.85208	1.40003	0.25877	-1.40577	-0.27874	-0.18773	-0.27865	0.03806	-3.21	-3.121612949369468
CCC(C)OC(C)=O	-0.14067	-0.21898	-0.67666	0.95008	0.07549	-0.26679	0.72227	0.46168	-1.21244	0.85306	-2.21	-2.236701138716358
CC(C)(C)c1ccc(O)c(O)c1	0.64709	-0.32637	1.64663	-0.24322	-2.0621	0.08126	0.73812	1.13472	0.83479	0.14481	-1.28	-1.4522171696660828
C=C(Cl)Cl	0.30101	-0.91598	-0.17421	0.1899	0.08079	0.27953	-0.93855	1.08154	0.00321	-0.78687	-1.8	-1.8541138862132496
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	0.2713	2.02059	2.31646	-1.79626	-0.04531	-0.13265	2.24439	-1.21887	2.51931	0.86299	-3.97	-4.140956521739137
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O	1.76325	0.06508	0.12432	0.0279	-0.67912	3.27839	1.21845	-1.44824	1.72585	0.03806	-2.71	-2.4873540372670804
Cl/C=C/Cl	0.30101	-0.91598	-0.08594	-0.08714	0.08079	0.08126	-0.96387	0.52807	0.00321	-0.78687	-1.99	-1.9297456268600928
Cl/C=C/CCl	0.33298	-0.57653	-0.10577	-0.06611	0.08351	0.08126	-0.88726	0.55801	-0.09397	-0.78687	-2.0	-1.9038513047951737
CC(C)N	-0.88872	-0.56718	-0.42283	0.21321	0.3134	0.08126	-0.74833	-0.57809	-0.24833	-0.78687	-2.9	-2.9576056684861016
CCCCCC(C)=O	0.46687	-0.58211	-0.27325	0.04996	0.08633	0.64873	-0.15894	0.69731	-0.49982	0.03806	-2.0	-2.059456368434515
Oc1cccc(O)c1	-0.32887	-0.32637	-1.10032	0.58047	2.14289	0.08126	-0.87784	0.77096	0.94183	-0.78687	-2.82	-2.7506700922266107
Cc1ccc(C(C)C)c(O)c1	0.96957	-0.62118	-0.11118	0.20743	0.53181	0.08126	0.62381	1.14573	0.44526	-0.78687	-1.18	-1.24003512767426
CCBr	-0.10066	-0.60827	-0.09358	-0.01432	0.08079	0.08126	-0.88565	-1.19557	-0.20563	-0.78687	-2.24	-2.2473260869565235
CCCCOCCOCCOC(C)=O	-0.1145	1.33573	0.7891	-0.90786	-0.49013	-0.40154	0.65848	-0.19318	-2.61945	2.48308	-3.49	-3.5284224637681194
CCCCCCOC(=O)c1cccnc1	0.96556	0.09778	-0.17667	-0.18886	0.83679	-0.41508	0.9976	-0.91369	-0.97732	0.02814	-1.75	-1.739531027667984
COCC(C)O	-1.14438	0.52308	0.53464	-0.79365	-0.15936	0.08126	-0.60993	-0.45543	-1.06689	0.02814	-2.9	-3.1424274327122133
C=CC=O	-0.87533	-0.55308	0.06453	-0.23486	-0.03646	0.08126	-0.73743	0.29686	-0.39831	0.03806	-3.07	-2.9637281230846435
C=O	-1.29369	-0.52404	-0.08725	-0.32117	0.08079	0.08126	-0.82574	-0.46264	-0.566	0.03806	-2.65	-2.9176977570738423
C1=Cc2ccccc2C1	0.54223	-0.91598	-0.10256	-0.1108	-0.01596	0.08126	-0.40713	0.39486	0.2939	0.31787	-1.36	-1.3422687576090333
COC(=O)c1cccnc1	-0.50157	0.12681	-0.00515	-0.30867	0.74834	-0.54974	0.14492	0.23257	-0.88318	0.02814	-2.51	-2.578883436853
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]	0.2079	-0.34753	-0.11848	-0.14622	-1.58517	0.08126	0.68811	0.50443	0.8527	-0.78687	-2.42	-2.2702775079992437
CCNCC	-0.69142	-0.16031	-0.23042	-0.15486	0.18278	0.08126	-0.67261	-1.12972	-0.87396	-0.78687	-2.75	-2.807795080885299
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1	-0.05718	1.58167	-0.83519	-1.70706	2.88436	0.81134	1.8618	-0.87007	-0.40533	1.32901	-4.05	-3.9510579710144986
